LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
6392,1.6602e+07,0,391,0.0025,0.0025,0.012392,0.013965,0.010988,0.034989,0.0099888,0.034988
26456,2.1611e+07,0,393,0.0025,0.0025,0.012474,0.013103,0.010988,0.017982,0.0099888,0.017981
47716,2.6619e+07,0,399,0.0025,0.0025,0.012348,0.013044,0.010987,0.017981,0.0099878,0.018977
68639,3.162e+07,0,405,0.0025,0.0025,0.012079,0.012658,0.010987,0.017981,0.0099878,0.01798
89540,3.6629e+07,0,404,0.0025,0.0025,0.012227,0.012601,0.010989,0.016983,0.0099893,0.016982
1.1047e+05,4.1637e+07,0,403,0.0025,0.0025,0.012242,0.01266,0.010989,0.017981,0.0099893,0.017981
1.3135e+05,4.6645e+07,0,401,0.0025,0.0025,0.012244,0.012765,0.010988,0.017981,0.0099894,0.017981
1.5209e+05,5.1654e+07,0,403,0.0025,0.0025,0.012172,0.012734,0.010988,0.017981,0.0099893,0.017981
1.7306e+05,5.6663e+07,0,399,0.0025,0.0025,0.012252,0.012899,0.010988,0.017981,0.0099894,0.017981
1.9392e+05,6.1667e+07,0,399,0.0025,0.0025,0.01235,0.012892,0.010988,0.017981,0.0099892,0.017981
2.1477e+05,6.6673e+07,0,403,0.0025,0.0025,0.012239,0.012767,0.010988,0.020978,0.0099893,0.020977
2.357e+05,7.1676e+07,0,401,0.0025,0.0025,0.01217,0.01281,0.010988,0.017981,0.0099892,0.017981
2.571e+05,7.6685e+07,0,409,0.0025,0.0025,0.012092,0.01242,0.010988,0.020978,0.0099893,0.020978
2.7858e+05,8.1695e+07,0,408,0.0025,0.0025,0.012074,0.012563,0.010988,0.017981,0.0099891,0.01798
2.9991e+05,8.67e+07,0,409,0.0025,0.0025,0.011978,0.01241,0.010988,0.017981,0.0099892,0.017981
