LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
2053,1.5521e+07,0,2.4644e-05,0.00031901,0.00031724,0.0028866,0.45968,0.46124,0.1518,0.48886,0.48991,0.59316,1.2009e-08,1.1956e-08
4038,1.6013e+07,0,2.4695e-05,0.00039609,0.00039392,0.0027863,0.74715,0.74971,0.15899,1.0949,1.0978,0.73819,1.1927e-08,1.1872e-08
6020,1.651e+07,0,2.4979e-05,0.00048114,0.00047855,0.0027062,1.1663,1.1703,0.15873,2.2809,2.2876,0.8717,1.1742e-08,1.1686e-08
8040,1.7008e+07,0,2.4826e-05,0.00055599,0.00055306,0.0025891,1.6625,1.6681,0.14963,4.1344,4.1469,0.94864,1.1379e-08,1.1325e-08
9953,1.7505e+07,0,2.478e-05,0.0006196,0.00061644,0.0024885,2.2278,2.2349,0.13762,6.8743,6.8945,0.99083,1.0758e-08,1.0707e-08
11934,1.7996e+07,0,2.4686e-05,0.00065767,0.00065451,0.0023909,2.7906,2.7986,0.12439,10.481,10.509,1.0068,9.8276e-09,9.7843e-09
13912,1.8492e+07,0,2.468e-05,0.00066511,0.00066221,0.0023057,3.246,3.2542,0.11208,14.525,14.56,1.0021,8.6341e-09,8.5997e-09
15929,1.8991e+07,0,2.4468e-05,0.00063973,0.00063727,0.0022234,3.5166,3.524,0.10082,18.451,18.487,0.98574,7.3021e-09,7.2768e-09
17875,1.9485e+07,0,2.4173e-05,0.00058986,0.00058788,0.002137,3.5621,3.568,0.09059,21.525,21.558,0.95754,6.0027e-09,5.9852e-09
19897,1.9984e+07,0,2.3898e-05,0.00053171,0.00053013,0.0020552,3.4473,3.4517,0.081815,23.7,23.728,0.92879,4.8673e-09,4.8557e-09
21906,2.0482e+07,0,2.3698e-05,0.00047877,0.00047751,0.0019907,3.2475,3.2505,0.074768,25.176,25.199,0.9056,3.9497e-09,3.9421e-09
23932,2.0983e+07,0,2.3107e-05,0.00042974,0.00042868,0.0019058,2.9526,2.9545,0.067921,25.344,25.361,0.86839,3.2501e-09,3.2451e-09
25918,2.1478e+07,0,2.2762e-05,0.00039324,0.00039235,0.0018343,2.686,2.6872,0.062376,25.433,25.446,0.84332,2.7301e-09,2.7267e-09
27942,2.1977e+07,0,2.2374e-05,0.00036806,0.00036729,0.0017728,2.4389,2.4395,0.05778,25.178,25.187,0.81938,2.3465e-09,2.3441e-09
30048,2.2476e+07,0,2.2078e-05,0.00035235,0.00035166,0.0017192,2.2119,2.2121,0.053897,24.575,24.582,0.79337,2.0626e-09,2.0608e-09
32220,2.2974e+07,0,2.2427e-05,0.00035042,0.00034975,0.0017095,2.1409,2.1409,0.052301,25.457,25.463,0.80946,1.8884e-09,1.8869e-09
34353,2.3473e+07,0,3.149e-05,0.00034553,0.00034478,0.0016484,2.0155,2.015,0.049211,24.734,24.737,0.78646,1.7168e-09,1.7158e-09
36482,2.3964e+07,0,5.0917e-05,0.00034434,0.00034496,0.001578,1.8739,1.8732,0.042415,24.041,24.043,0.67131,1.5822e-09,1.5817e-09
38639,2.4462e+07,0,3.0389e-05,0.00034589,0.00034572,0.0015477,1.7382,1.7368,0.031453,23.262,23.263,0.42817,1.4741e-09,1.4742e-09
40768,2.4958e+07,0,0.00020649,0.00036083,0.0012949,0.030934,1.6145,1.6133,0.027301,22.54,22.539,0.33074,1.3849e-09,1.3858e-09
42880,2.5457e+07,0,5.5249e-05,0.00038227,0.0010863,0.014501,1.4471,1.3721,0.026334,22.798,22.793,0.29892,1.324e-09,1.3257e-09
44959,2.5955e+07,0,4.4098e-05,0.0003702,0.0010358,0.013696,1.4735,1.2157,0.025769,21.71,21.66,0.26393,1.2603e-09,1.2632e-09
47030,2.6455e+07,0,2.942e-05,0.00039419,0.0010438,0.012765,1.7247,1.1906,0.027425,20.83,20.633,0.24356,1.2096e-09,1.2142e-09
49108,2.6953e+07,0,3.9787e-05,0.00038505,0.0010412,0.012402,2.1715,1.272,0.027061,20.129,19.634,0.22974,1.1692e-09,1.1771e-09
51189,2.7444e+07,0,7.4473e-05,0.00039539,0.0010117,0.012136,2.7604,1.4546,0.029339,20.828,19.749,0.23328,1.1428e-09,1.1547e-09
53251,2.7938e+07,0,7.3011e-05,0.00039058,0.00098338,0.011888,3.3454,1.6541,0.031362,20.863,19.083,0.2265,1.1145e-09,1.1338e-09
55316,2.8433e+07,0,5.0607e-05,0.00035588,0.0009354,0.011732,3.9143,1.8529,0.032839,21.446,18.779,0.22402,1.0888e-09,1.1187e-09
57395,2.8925e+07,0,3.7023e-05,0.00036101,0.00096226,0.011491,4.5562,2.0824,0.031352,23.541,19.556,0.23461,1.0686e-09,1.1096e-09
59460,2.942e+07,0,4.0894e-05,0.00034442,0.00087099,0.010799,5.0184,2.2332,0.027822,24.714,19.675,0.23096,1.0425e-09,1.0993e-09
61495,2.991e+07,0,2.9436e-05,0.00033681,0.00074411,0.010732,5.3444,2.3898,0.027949,26.979,20.631,0.2359,1.0199e-09,1.0875e-09
63579,3.0404e+07,0,2.6762e-05,0.00032791,0.00069364,0.010481,5.3763,2.4637,0.027677,27.948,20.98,0.23158,9.9397e-10,1.0761e-09
65658,3.0899e+07,0,2.5821e-05,0.00036269,0.00060544,0.010077,5.2438,2.4963,0.027387,28.192,21.149,0.22577,9.6675e-10,1.0582e-09
67693,3.1394e+07,0,3.4598e-05,0.00037803,0.00050344,0.0098438,4.948,2.4978,0.026974,28.237,21.404,0.22189,9.3974e-10,1.0358e-09
69807,3.1893e+07,0,3.3228e-05,0.00036043,0.0004593,0.009742,4.7227,2.5599,0.026733,29.78,22.67,0.22979,9.1737e-10,1.0107e-09
71922,3.2392e+07,0,3.4141e-05,0.00031523,0.00042526,0.0095394,4.1688,2.4785,0.025362,29.151,22.793,0.22657,8.9371e-10,9.8763e-10
73990,3.289e+07,0,3.4441e-05,0.00030191,0.00038012,0.0093217,3.6326,2.331,0.024411,28.048,22.604,0.22192,8.7036e-10,9.586e-10
76069,3.339e+07,0,2.6923e-05,0.0003145,0.00034684,0.0091495,3.1787,2.1899,0.023375,27.084,22.451,0.21884,8.489e-10,9.2896e-10
78116,3.3884e+07,0,3.7674e-05,0.00029733,0.00032756,0.0090542,3.0094,2.1714,0.023357,27.561,23.235,0.22533,8.3347e-10,9.052e-10
80193,3.4383e+07,0,4.282e-05,0.00024192,0.0003931,0.0087528,2.6293,2.0103,0.021615,26.243,22.694,0.21957,8.1559e-10,8.7385e-10
82260,3.4881e+07,0,3.1914e-05,0.00021555,0.00030236,0.0085679,2.2879,1.8019,0.020634,25.062,22.179,0.21458,7.9968e-10,8.412e-10
84335,3.538e+07,0,4.4543e-05,0.00021712,0.00030992,0.00841,2.0059,1.5961,0.020339,23.93,21.544,0.20999,7.8558e-10,8.0821e-10
86376,3.5871e+07,0,4.9566e-05,0.00020803,0.00030775,0.008317,1.8241,1.4777,0.020367,23.951,21.761,0.2146,7.7563e-10,7.8223e-10
88447,3.6371e+07,0,5.5828e-05,0.00020572,0.00028115,0.008243,1.6229,1.3377,0.020039,22.883,21.039,0.21098,7.6433e-10,7.4946e-10
90527,3.6867e+07,0,6.4665e-05,0.0002245,0.00027834,0.0080502,1.4892,1.2261,0.019842,21.707,20.151,0.20572,7.5425e-10,7.1655e-10
92646,3.7367e+07,0,8.7436e-05,0.00022465,0.0002726,0.007771,1.4542,1.1754,0.019672,21.865,20.361,0.21226,7.4724e-10,6.9033e-10
94716,3.7863e+07,0,5.8162e-05,0.00021016,0.00032093,0.0076384,1.2748,1.0773,0.018037,20.839,19.543,0.2068,7.3832e-10,6.5903e-10
96744,3.8354e+07,0,4.0193e-05,0.00025864,0.00024758,0.0076296,1.142,0.99438,0.016774,19.869,18.791,0.20091,7.3044e-10,6.2872e-10
98820,3.8848e+07,0,4.0615e-05,0.00023765,0.00027965,0.0076123,1.0845,0.96051,0.016092,19.858,18.887,0.20421,7.2527e-10,6.0456e-10
1.009e+05,3.9345e+07,0,3.6542e-05,0.00024443,0.00029078,0.0074855,0.98087,0.91104,0.014987,18.94,18.18,0.19737,7.1901e-10,5.7561e-10
1.0296e+05,3.984e+07,0,6.0663e-05,0.00024876,0.00023581,0.0074948,0.91743,0.87978,0.014351,18.115,17.566,0.19117,7.1379e-10,5.4774e-10
1.0504e+05,4.0339e+07,0,8.1382e-05,0.00025434,0.00022476,0.0074207,0.87163,0.85855,0.013884,17.333,16.97,0.18526,7.0903e-10,5.2044e-10
1.0711e+05,4.0836e+07,0,5.9173e-05,0.00025836,0.0002386,0.0074468,0.8615,0.88149,0.013865,17.482,17.266,0.18996,7.0506e-10,4.9972e-10
1.0917e+05,4.1332e+07,0,5.9028e-05,0.00025985,0.00026872,0.0074243,0.82463,0.88723,0.013366,16.761,16.73,0.1842,6.9883e-10,4.7427e-10
1.1128e+05,4.1832e+07,0,8.6676e-05,0.00027063,0.00027836,0.0072502,0.80144,0.9078,0.013103,16.221,16.403,0.18042,6.9116e-10,4.4935e-10
1.1335e+05,4.2324e+07,0,7.5158e-05,0.00027681,0.00023039,0.007289,0.808,0.9597,0.013189,16.268,16.707,0.18391,6.8388e-10,4.2656e-10
1.1538e+05,4.282e+07,0,5.6348e-05,0.00027872,0.0002308,0.0073167,0.80473,0.9964,0.012939,15.708,16.379,0.17938,6.7331e-10,4.0733e-10
1.1745e+05,4.3318e+07,0,9.7085e-05,0.00028647,0.00022063,0.0072783,0.80613,1.0428,0.012684,15.212,16.133,0.17543,6.598e-10,3.8512e-10
1.1952e+05,4.3812e+07,0,9.0868e-05,0.00027869,0.00021966,0.0072492,0.81452,1.0945,0.012508,14.809,15.992,0.17228,6.4338e-10,3.6377e-10
1.2162e+05,4.4306e+07,0,6.936e-05,0.00028918,0.00022841,0.0072572,0.84309,1.1693,0.012654,14.99,16.531,0.17651,6.2794e-10,3.4723e-10
1.2368e+05,4.4796e+07,0,5.2692e-05,0.00031216,0.00022478,0.0071753,0.85981,1.2378,0.012598,14.64,16.477,0.17353,6.0525e-10,3.2609e-10
1.2572e+05,4.529e+07,0,5.5351e-05,0.000285,0.00022164,0.0071337,0.87038,1.3017,0.012509,14.287,16.415,0.17017,5.7939e-10,3.0559e-10
1.278e+05,4.5785e+07,0,7.2644e-05,0.00026392,0.00021064,0.0071059,0.91653,1.3842,0.012749,14.582,17.175,0.17522,5.5652e-10,2.9046e-10
1.2983e+05,4.6278e+07,0,9.3946e-05,0.0002635,0.00022646,0.0069335,0.95174,1.4209,0.01278,14.29,17.113,0.17175,5.2508e-10,2.7194e-10
1.3178e+05,4.6773e+07,0,8.5125e-05,0.00025832,0.00017531,0.0068624,0.98358,1.4719,0.012724,14.165,17.216,0.16996,4.9111e-10,2.541e-10
1.3385e+05,4.7266e+07,0,5.0088e-05,0.0002248,0.00015672,0.0069003,1.0042,1.5263,0.012564,14.565,18.058,0.17515,4.6295e-10,2.3922e-10
1.3591e+05,4.7757e+07,0,5.2992e-05,0.00021491,0.00015865,0.0068178,1.0266,1.5227,0.01231,14.498,18.09,0.17282,4.269e-10,2.2451e-10
1.3798e+05,4.8255e+07,0,6.0528e-05,0.0002157,0.00012703,0.0067456,1.0278,1.5309,0.011964,14.399,18.045,0.17009,3.9086e-10,2.0879e-10
1.4e+05,4.8747e+07,0,5.6588e-05,0.00020043,0.00014264,0.0066671,1.044,1.5719,0.01194,14.789,18.749,0.17401,3.6276e-10,1.9582e-10
1.4207e+05,4.9241e+07,0,4.6855e-05,0.00017502,0.0001452,0.0065845,1.0644,1.5571,0.011821,14.682,18.576,0.17059,3.2889e-10,1.8301e-10
1.4409e+05,4.9732e+07,0,4.9099e-05,0.00016583,0.0001362,0.0064817,1.0761,1.5466,0.011739,14.558,18.368,0.16734,2.9673e-10,1.7009e-10
1.4616e+05,5.0235e+07,0,4.144e-05,0.00015793,0.00011183,0.0064438,1.1013,1.5858,0.01193,15.1,19.17,0.17257,2.7276e-10,1.598e-10
1.4824e+05,5.0726e+07,0,2.9757e-05,0.00013992,0.00010825,0.0063727,1.1109,1.5643,0.011836,15.074,18.983,0.16997,2.447e-10,1.4956e-10
1.503e+05,5.1227e+07,0,3.7321e-05,0.00013186,0.00010414,0.006273,1.1143,1.5463,0.011757,15.001,18.761,0.16741,2.1916e-10,1.3946e-10
1.5236e+05,5.1722e+07,0,3.4398e-05,0.00011119,9.0591e-05,0.0062114,1.1208,1.5201,0.011702,14.966,18.55,0.1652,1.9628e-10,1.3047e-10
1.5444e+05,5.2213e+07,0,3.6968e-05,0.00012073,7.4894e-05,0.0061408,1.1462,1.5335,0.011883,15.524,19.145,0.16962,1.7993e-10,1.2421e-10
1.5649e+05,5.2706e+07,0,3.3812e-05,0.00012226,7.4758e-05,0.0060346,1.1351,1.5254,0.011677,15.408,18.803,0.16662,1.6126e-10,1.1651e-10
