LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
28612,2.2138e+07,1,0,4.756,216,288,0,72,144,0.2,0.2,0.2,0.2,0.2
28656,2.2148e+07,1,166.54,14.575,216.03,288.03,0.028806,72.029,144.03,0.2,0.2,0.2,0.2,0.2
28701,2.2162e+07,1,149.57,14.287,216.04,288.04,0.042551,72.043,144.04,0.2,0.2,0.2,0.2,0.2
28748,2.2175e+07,1,286.1,14.27,216.02,288.02,0.015117,72.015,144.02,0.2,0.2,0.2,0.2,0.2
28793,2.2185e+07,1,286.1,14.27,216.02,288.02,0.015117,72.015,144.02,0.2,0.2,0.2,0.2,0.2
28839,2.2195e+07,1,286.1,14.27,216.02,288.02,0.015117,72.015,144.02,0.2,0.2,0.2,0.2,0.2
28880,2.2206e+07,1,346.45,14.381,216.05,288.05,0.046166,72.046,144.05,0.2,0.2,0.2,0.2,0.2
28925,2.2215e+07,1,359.64,14.268,216.05,288.05,0.049657,72.05,144.05,0.2,0.2,0.2,0.2,0.2
28974,2.2225e+07,1,9.7247,14.325,216.03,288.03,0.030585,72.031,144.03,0.2,0.2,0.2,0.2,0.2
29019,2.2235e+07,1,338.14,14.558,216.04,288.04,0.036266,72.036,144.04,0.2,0.2,0.2,0.2,0.2
29065,2.2246e+07,1,338.14,14.558,216.04,288.04,0.036266,72.036,144.04,0.2,0.2,0.2,0.2,0.2
29109,2.2256e+07,1,349.32,14.338,216.05,288.05,0.050429,72.05,144.05,0.2,0.2,0.2,0.2,0.2
29154,2.2266e+07,1,5.0226,14.283,216.07,288.07,0.072263,72.072,144.07,0.2,0.2,0.2,0.2,0.2
29192,2.2277e+07,1,13.387,14.376,216.05,288.05,0.053951,72.054,144.05,0.2,0.2,0.2,0.2,0.2
29240,2.229e+07,1,14.805,14.4,216.07,288.07,0.071532,72.072,144.07,0.2,0.2,0.2,0.2,0.2
29284,2.23e+07,1,24.819,14.638,216.08,288.08,0.076857,72.077,144.08,0.2,0.2,0.2,0.2,0.2
29329,2.231e+07,1,24.819,14.638,216.08,288.08,0.076857,72.077,144.08,0.2,0.2,0.2,0.2,0.2
29374,2.232e+07,1,3.0363,14.273,216.08,288.08,0.08328,72.083,144.08,0.2,0.2,0.2,0.2,0.2
29423,2.233e+07,1,23.121,14.589,216.08,288.08,0.078602,72.079,144.08,0.2,0.2,0.2,0.2,0.2
