LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
28604,2.2138e+07,0,0,0,0,0,0,0,0,0,0,0
28648,2.2148e+07,0,0,0,0,0,0,0,0,0,0,0
28693,2.2162e+07,0,0,0,0,0,0,0,0,0,0,0
28740,2.2175e+07,0,0,0,0,0,0,0,0,0,0,0
28785,2.2185e+07,0,0,0,0,0,0,0,0,0,0,0
28831,2.2195e+07,0,0,0,0,0,0,0,0,0,0,0
28872,2.2206e+07,0,0,0,0,0,0,0,0,0,0,0
28917,2.2215e+07,0,0,0,0,0,0,0,0,0,0,0
28966,2.2225e+07,0,0,0,0,0,0,0,0,0,0,0
29011,2.2235e+07,0,0,0,0,0,0,0,0,0,0,0
29057,2.2246e+07,0,0,0,0,0,0,0,0,0,0,0
29101,2.2256e+07,0,0,0,0,0,0,0,0,0,0,0
29146,2.2266e+07,0,0,0,0,0,0,0,0,0,0,0
29184,2.2277e+07,0,0,0,0,0,0,0,0,0,0,0
29232,2.229e+07,0,0,0,0,0,0,0,0,0,0,0
29276,2.23e+07,0,0,0,0,0,0,0,0,0,0,0
29321,2.231e+07,0,0,0,0,0,0,0,0,0,0,0
29366,2.232e+07,0,0,0,0,0,0,0,0,0,0,0
29415,2.233e+07,0,0,0,0,0,0,0,0,0,0,0
29463,2.2341e+07,0,0,0,0,0,0,0,0,0,0,0
29507,2.2351e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29552,2.2361e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29594,2.2371e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29638,2.2381e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29680,2.2391e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29724,2.2401e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29772,2.2414e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29817,2.2424e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29866,2.2434e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29911,2.2444e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29955,2.2454e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
29997,2.2464e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30041,2.2476e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30089,2.2486e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30134,2.2497e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30178,2.2507e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30224,2.2518e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
30273,2.2527e+07,0,0.0047923,0.031355,0.039462,0.017909,-0.0035181,-0.034334,-0.034227,-0.0089308,0.0065958,-0.0091042
