LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1100,56761413,0,0,0,0.2585996,-0.7546948,-0.7546948,-0.82,NaN,0,0.3197162,20,20
1591,56923983,0,0,0,0.2585996,-0.6965998,-0.6965998,-0.98,NaN,0,0.3775365,51,51
2005,57027383,0,0,0,0.2585996,-0.6512743,-0.6512743,-0.66,NaN,0,0.4227095,51,51
2419,57130042,0,0,0,0.2585996,-0.60401,-0.60401,-0.73,NaN,0,0.4699737,50,50
2828,57234524,0,0,0,0.2585996,-0.5562736,-0.5562736,-0.7,NaN,0,0.5175728000000001,50,50
3215,57337297,0,0,0,0.2585996,-0.5090837,-0.5090837,-0.96,NaN,0,0.5647627,50,50
3629,57440646,0,0,0,0.2585996,-0.4668526,-0.4668526,-0.92,NaN,0,0.6067191,50,50
4041,57544085,0,0,0,0.2585996,-0.4275137,-0.4275137,-0.65,NaN,0,0.6460581,49,49
4459,57647355,0,0,0,0.2585996,-0.3903228,-0.3903228,-0.9399999999999999,NaN,0,0.6832489,49,49
4867,57750785,0,0,0,0.2585996,-0.3549279,-0.3549279,-0.88,NaN,0,0.7186439,49,49
5278,57854809,0,0,0,0.2585996,-0.3235497,-0.3235497,-0.86,NaN,0,0.7496177000000001,48,48
5687,57956086,0,0,0,0.2585996,-0.2943651,-0.2943651,-0.83,NaN,0,0.7788022,48,48
6098,58058650,0,0,0,0.2585996,-0.2670874,-0.2670874,-0.66,NaN,0,0.8057901,47,47
6477,58161080,0,0,0,0.2585996,-0.2405248,-0.2405248,-0.85,NaN,0,0.8323526999999999,47,47
6889,58262808,0,0,0,0.2585996,-0.2184841,-0.2184841,-0.97,NaN,0,0.8541034,46,46
7296,58365009,0,0,0,0.2585996,-0.1979549,-0.1979549,-0.87,NaN,0,0.8746326,46,46
7706,58467796,0,0,0,0.2585996,-0.1791734,-0.1791734,-0.74,NaN,0,0.8929793,45,45
8117,58571056,0,0,0,0.2585996,-0.1646143,-0.1646143,-0.77,NaN,0,0.9075384,44,44
8531,58674048,0,0,0,0.2585996,-0.1474082,-0.1474082,-0.91,NaN,0,0.9247445,44,44
8942,58776437,0,0,0,0.2585996,-0.1322637,-0.1322637,-0.64,NaN,0,0.9397593,43,43
