LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1734,4.5403e+07,1,0,0,16.76,0.03,25,0,0,0
2189,4.5516e+07,1,0,0,16.76,0.04,25,0,0,0
2609,4.5619e+07,1,0,0,16.76,0.04,24,0,0,0
3023,4.5724e+07,1,0,0,16.77,0.04,25,0,0,0
3478,4.5837e+07,1,0,0,16.76,0.04,25,0,0,0
3894,4.5939e+07,1,0,0,16.76,0.03,24,0,0,0
4349,4.6049e+07,1,0,0,16.76,0.03,24,0,0,0
4762,4.6153e+07,1,0,0,16.76,0.03,25,0,0,0
5180,4.6257e+07,1,0,0,16.76,0.03,24,0,0,0
5633,4.6369e+07,1,0,0,16.76,0.03,25,0,0,0
6048,4.6474e+07,1,0,0,16.76,0.03,25,0,0,0
6505,4.6586e+07,1,0,0,16.76,0.03,25,0,0,0
6918,4.6687e+07,1,0,0,16.76,0.03,25,0,0,0
7371,4.6799e+07,1,0,0,16.76,0.03,24,0,0,0
7786,4.69e+07,1,0,0,16.76,0.03,25,0,0,0
8244,4.7014e+07,1,0,0,16.76,0.03,25,0,0,0
8654,4.7115e+07,1,0,0,16.76,0.03,25,0,0,0
9068,4.7216e+07,1,0,0,16.76,0.03,25,0,0,0
9419,4.7331e+07,1,0,0,16.76,0.03,25,0,0,0
9831,4.7432e+07,1,0,0,16.76,0.03,25,0,0,0
10249,4.7535e+07,1,0,0,16.76,0.03,25,0,0,0
10705,4.7648e+07,1,0,0,16.76,0.03,25,0,0,0
11089,4.7749e+07,1,0,0,16.76,0.04,25,0,0,0
11504,4.7854e+07,1,0,0,16.76,0.03,25,0,0,0
11956,4.7964e+07,1,0,0,16.76,0.03,25,0,0,0
12409,4.8073e+07,1,0,0,16.76,0.03,25,0,0,0
12819,4.8174e+07,1,0,0,16.76,0.03,25,0,0,0
13237,4.8281e+07,1,0,0,16.76,0.03,25,0,0,0
13647,4.8383e+07,1,0,0,16.76,0.03,25,0,0,0
14100,4.8496e+07,1,0,0,16.76,0.03,25,0,0,0
14517,4.8597e+07,1,0,0,16.76,0.03,25,0,0,0
14967,4.8708e+07,1,0,0,16.77,0.03,25,0,0,0
15834,4.8924e+07,1,0,0,16.76,0.03,25,0,0,0
16250,4.9028e+07,1,0,0,16.76,0.03,25,0,0,0
16664,4.913e+07,1,0,0,16.76,0.03,25,0,0,0
17116,4.9245e+07,1,0,0,16.76,0.03,25,0,0,0
17529,4.9346e+07,1,0,0,16.76,0.03,25,0,0,0
17941,4.9448e+07,1,0,0,16.76,0.03,24,0,0,0
18396,4.9558e+07,1,0,0,16.76,0.03,25,0,0,0
18807,4.9663e+07,1,0,0,16.76,0.03,25,0,0,0
19260,4.9775e+07,1,0,0,16.76,0.04,25,0,0,0
19634,4.9871e+07,1,0,0,16.76,0.03,25,0,0,0
20089,4.9982e+07,1,0,0,16.76,0.04,25,0,0,0
20543,5.0095e+07,1,0,0,16.76,0.04,25,0,0,0
20952,5.0196e+07,1,0,0,16.76,0.04,25,0,0,0
21367,5.0303e+07,1,0,0,16.76,0.03,25,0,0,0
21780,5.0409e+07,1,0,0,16.76,0.03,25,0,0,0
22236,5.0521e+07,1,0,0,16.76,0.03,25,0,0,0
22646,5.0623e+07,1,0,0,16.76,0.03,25,0,0,0
23099,5.0734e+07,1,0,0,16.76,0.03,25,0,0,0
23517,5.0839e+07,1,0,0,16.76,0.03,25,0,0,0
23932,5.0941e+07,1,0,0,16.75,0.03,25,0,0,0
24348,5.1045e+07,1,0,0,16.76,0.04,25,0,0,0
24802,5.1155e+07,1,0,0,16.76,0.03,25,0,0,0
25251,5.1266e+07,1,0,0,16.76,0.04,25,0,0,0
25664,5.1367e+07,1,0,0,16.76,0.04,25,0,0,0
26113,5.1479e+07,1,0,0,16.76,0.04,25,0,0,0
26529,5.1581e+07,1,0,0,16.76,0.03,25,0,0,0
26944,5.1689e+07,1,0,0,16.76,0.03,25,0,0,0
27357,5.179e+07,1,0,0,16.76,0.04,25,0,0,0
28674,5.212e+07,1,0,0,16.76,0.03,25,0,0,0
29079,5.2222e+07,1,0,0,16.76,0.04,25,0,0,0
29495,5.2326e+07,1,0,0,16.76,0.03,25,0,0,0
29908,5.243e+07,1,0,0,16.76,0.04,25,0,0,0
30368,5.2542e+07,1,0,0,16.76,0.03,25,0,0,0
30791,5.2646e+07,1,0,0,16.76,0.03,25,0,0,0
31289,5.2757e+07,1,0,0,16.76,0.03,25,0,0,0
31742,5.2861e+07,1,0,0,16.76,0.03,25,0,0,0
32242,5.2974e+07,1,0,0,16.75,0.04,25,0,0,0
32654,5.3072e+07,1,0,0,16.76,0.03,25,0,0,0
33155,5.3184e+07,1,0,0,16.75,0.03,25,0,0,0
33649,5.3298e+07,1,0,0,16.76,0.04,25,0,0,0
34097,5.3402e+07,1,0,0,16.76,0.04,25,0,0,0
34549,5.3505e+07,1,0,0,16.76,0.03,25,0,0,0
35049,5.3616e+07,1,0,0,16.75,0.03,25,0,0,0
35497,5.3721e+07,1,0,0,16.76,0.04,25,0,0,0
35947,5.3822e+07,1,0,0,16.76,0.04,25,0,0,0
36445,5.3934e+07,1,0,0,16.76,0.04,25,0,0,0
36935,5.4041e+07,1,0,0,16.76,0.04,25,0,0,0
37390,5.4143e+07,1,0,0,16.76,0.04,25,0,0,0
37886,5.4257e+07,1,0,0,16.75,0.04,25,0,0,0
38336,5.4358e+07,1,0,0,16.75,0.04,25,0,0,0
38788,5.4462e+07,1,0,0,16.76,0.04,25,0,0,0
39288,5.4575e+07,1,14,171,16.75,0.03,25,0,0,0
39737,5.4678e+07,1,183,528,16.74,0.07,25,0,0,0
40233,5.4792e+07,1,561,914,16.73,0.14,25,0,0,0
41038,5.5001e+07,1,1232,1300,16.73,0.11,25,0,0,0
41490,5.5106e+07,1,1301,1342,16.75,0.11,25,0,0,0
41999,5.5226e+07,1,1342,1342,16.74,0.11,25,0,0,0
42454,5.5326e+07,1,1343,1357,16.73,0.11,25,0,0,0
42902,5.5429e+07,1,1356,1342,16.73,0.11,25,0,0,0
43403,5.5543e+07,1,1343,1357,16.73,0.11,25,0,0,0
43813,5.5639e+07,1,1357,1357,16.74,0.11,25,0,0,0
44311,5.5749e+07,1,1357,1357,16.75,0.11,25,0,0,0
44767,5.5854e+07,1,1357,1357,16.73,0.11,25,0,0,0
45267,5.5965e+07,1,1357,1357,16.74,0.11,25,0,0,0
45714,5.6066e+07,1,1357,1357,16.75,0.11,25,0,0,0
46174,5.617e+07,1,1357,1357,16.75,0.11,25,0,0,0
46670,5.6283e+07,1,1357,1357,16.73,0.11,25,0,0,0
47122,5.6384e+07,1,1357,1357,16.73,0.11,25,0,0,0
47576,5.6488e+07,1,1356,1342,16.73,0.11,25,0,0,0
48075,5.6601e+07,1,1343,1357,16.74,0.11,25,0,0,0
48531,5.6708e+07,1,1355,1342,16.74,0.11,25,0,0,0
48984,5.681e+07,1,1342,1357,16.75,0.11,25,0,0,0
49475,5.6921e+07,1,1356,1342,16.74,0.11,25,0,0,0
49932,5.7028e+07,1,1342,1342,16.74,0.11,25,0,0,0
50389,5.7131e+07,1,1342,1342,16.73,0.1,25,0,0,0
50839,5.7236e+07,1,1342,1357,16.73,0.11,25,0,0,0
51340,5.7347e+07,1,1357,1357,16.74,0.11,25,0,0,0
51790,5.7451e+07,1,1357,1357,16.73,0.1,25,0,0,0
52288,5.7565e+07,1,1357,1357,16.73,0.11,25,0,0,0
52741,5.767e+07,1,1357,1357,16.74,0.11,25,0,0,0
53197,5.7774e+07,1,1356,1342,16.75,0.11,25,0,0,0
53682,5.7881e+07,1,1342,1357,16.73,0.11,25,0,0,0
54180,5.7993e+07,1,1355,1342,16.74,0.11,25,0,0,0
54591,5.809e+07,1,1342,1342,16.74,0.11,25,0,0,0
55093,5.8205e+07,1,1342,1357,16.74,0.11,25,0,0,0
55545,5.831e+07,1,1355,1342,16.75,0.11,25,0,0,0
56000,5.8417e+07,1,1342,1342,16.73,0.11,25,0,0,0
56493,5.8529e+07,1,1343,1357,16.74,0.11,25,0,0,0
56944,5.8633e+07,1,1357,1357,16.74,0.11,25,0,0,0
57398,5.8736e+07,1,1356,1342,16.74,0.11,25,0,0,0
58306,5.8947e+07,1,1342,1357,16.75,0.11,25,0,0,0
58761,5.9056e+07,1,1357,1357,16.73,0.11,25,0,0,0
59220,5.9163e+07,1,1357,1357,16.73,0.11,25,0,0,0
59671,5.9266e+07,1,1357,1357,16.74,0.11,25,0,0,0
60165,5.9377e+07,1,1356,1342,16.73,0.11,25,0,0,0
60617,5.9481e+07,1,1342,1357,16.74,0.1,25,0,0,0
