LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
534,19631923,0,1.36,0.41,17.36,0.01126196,0.006268325,0.003668973,0.1474343,0,0,-0.2928844,0,0,-0.2,0
1216,19883363,0,1.42,0.44,17.41,-0.003276217,0.002939983,-0.5494107,-0.4304008,0,0,-0.3141089,0,0,-0.19,0
1479,19928876,0,1.39,0.43,17.42,0.005906711,0.004664816,-0.5447686,-0.4373659,0,0,-0.3360161,0,0,-0.19,0
1523,19938885,0,1.38,0.43,17.43,0.008141773,0.004759633,-0.5434999,-0.4407945,0,0,-0.3405157,0,0,-0.19,0
1564,19948949,0,1.38,0.43,17.43,0.01006061,0.004475872,-0.5431878,-0.4452777,0,0,-0.3450512,0,0,-0.19,0
1604,19961942,0,1.37,0.43,17.44,0.01221009,0.003804853,-0.5437581,-0.4534062,0,0,-0.3519237,0,0,-0.19,0
1645,19972096,0,1.37,0.43,17.44,0.01350765,0.0031935,-0.5444078,-0.4618182,0,0,-0.3571819,0,0,-0.19,0
1686,19982696,0,1.37,0.43,17.44,0.01431755,0.002817121,-0.5450671,-0.4712897,0,0,-0.3624552,0,0,-0.19,0
1728,19992460,0,1.37,0.42,17.44,0.0150147,0.002261168,-0.5455351000000001,-0.480981,0,0,-0.3677422,0,0,-0.19,0
1769,20002869,0,1.38,0.41,17.44,0.01485335,0.001544649,-0.5453381,-0.4908066,0,0,-0.3735849,0,0,-0.19,0
1814,20013426,0,1.39,0.4,17.44,0.01393734,0.0005691753,-0.5447791,-0.4989593,0,0,-0.3790294,0,0,-0.19,0
1855,20023447,0,1.4,0.38,17.44,0.01237967,-0.0006108147,-0.5440714,-0.5066221,0,0,-0.3843226,0,0,-0.19,0
1896,20033727,0,1.4,0.37,17.44,0.01015745,-0.001927371,-0.543162,-0.513692,0,0,-0.3896146,0,0,-0.19,0
1943,20049091,0,1.4,0.36,17.44,0.006123842,-0.003265508,-0.5416351,-0.5189183000000001,0,0,-0.3962395,0,0,-0.19,0
1983,20059268,0,1.41,0.35,17.44,0.003483089,-0.004163564,-0.5409005,-0.5144078,0,0,-0.3997,0,0,-0.19,0
2024,20069079,0,1.4,0.35,17.44,0.0003697982,-0.004939211,-0.5406597,-0.5081335,0,0,-0.4032467,0,0,-0.19,0
2068,20079115,0,1.4,0.36,17.45,-0.002623868,-0.005658493,-0.5402545,-0.4997137,0,0,-0.4068767,0,0,-0.19,0
2108,20089452,0,1.39,0.37,17.45,-0.005284702,-0.006402321,-0.5402279,-0.4890886,0,0,-0.41059,0,0,-0.19,0
2150,20099925,0,1.39,0.38,17.46,-0.007559802,-0.006715317,-0.5408616000000001,-0.4763607,0,0,-0.4165297,0,0,-0.19,0
2194,20109829,0,1.38,0.4,17.47,-0.008830894000000001,-0.006356049,-0.540351,-0.4656458,0,0,-0.4203185,0,0,-0.2,0
2236,20119839,0,1.38,0.41,17.47,-0.009324626000000001,-0.005646086,-0.5393749,-0.4562016,0,0,-0.42417,0,0,-0.2,0
2277,20129788,0,1.37,0.41,17.48,-0.009514164,-0.004962074,-0.5380722999999999,-0.4475004,0,0,-0.428078,0,0,-0.2,0
2317,20139929,0,1.37,0.42,17.49,-0.009335862,-0.004056451,-0.5367045,-0.4406882,0,0,-0.4320378,0,0,-0.2,0
2359,20149947,0,1.38,0.42,17.49,-0.008812199,-0.003096249,-0.5360846,-0.4337859,0,0,-0.4373963,0,0,-0.2,0
2399,20160326,0,1.38,0.42,17.49,-0.007784056,-0.002055689,-0.5349158000000001,-0.4284104,0,0,-0.4407137,0,0,-0.19,0
2440,20170320,0,1.39,0.42,17.49,-0.00637035,-0.0009291013,-0.5342531,-0.4234105,0,0,-0.4441119,0,0,-0.19,0
2480,20180960,0,1.39,0.42,17.49,-0.004626372,0.000544918,-0.5337734,-0.417803,0,0,-0.4481252,0,0,-0.19,0
2521,20190952,0,1.4,0.42,17.48,-0.00301804,0.001742676,-0.5344058,-0.4116923,0,0,-0.4534604,0,0,-0.19,0
2562,20201059,0,1.41,0.42,17.48,-0.00151551,0.002761757,-0.5340822,-0.4058245,0,0,-0.4570213,0,0,-0.19,0
2607,20211062,0,1.41,0.43,17.48,-0.0001939343,0.003330125,-0.5337055000000001,-0.4014145,0,0,-0.4606571,0,0,-0.19,0
2649,20221899,0,1.41,0.43,17.48,0.001157955,0.003944605,-0.5328153,-0.3980377,0,0,-0.4643615,0,0,-0.19,0
