LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
184,1.1864e+08,0,-0.0027298,-0.001498,-0.0028703,0.054781,0.10815,-9.7518,0,0,44.843,1,1,8008,4004
219,1.1865e+08,0,-0.0036735,-0.0024452,-0.0034037,0.05624,0.10355,-9.7524,0,0,44.843,1,1,8008,4004
285,1.1867e+08,0,-0.0011164,-0.0046441,-2.6833e-05,0.028894,0.12152,-9.7523,0,0,44.843,1,1,8008,4004
401,1.187e+08,0,0.0019766,-0.00049005,0.0015255,0.035064,0.11305,-9.761,0,0,44.843,1,1,8008,4004
516,1.1873e+08,0,-0.0005076,0.0017837,0.0022164,0.041928,0.092022,-9.7663,0,0,44.843,1,1,8008,4004
519,1.1873e+08,0,-0.00051659,0.0022099,0.0011973,0.042843,0.090681,-9.7614,0,0,44.843,1,1,8008,4004
554,1.1873e+08,0,-0.001112,0.0026497,-0.00020432,0.044603,0.088968,-9.7577,0,0,44.843,1,1,8008,4004
624,1.1876e+08,0,-0.0038982,-0.0031825,0.0011772,0.055764,0.077719,-9.761,0,0,44.843,1,1,8008,4004
739,1.1878e+08,0,-0.0053817,-0.0049947,-0.00026414,0.036253,0.099207,-9.7316,0,0,44.843,1,1,8008,4004
854,1.188e+08,0,-0.0049939,-0.0029946,-0.0019334,0.030309,0.099857,-9.7398,0,0,44.843,1,1,8008,4004
970,1.1883e+08,0,0.00072058,0.00053665,-0.0022799,0.022913,0.10734,-9.7449,0,0,44.842,1,1,8008,4004
1005,1.1884e+08,0,0.0018213,0.0010052,-0.0023095,0.024968,0.10292,-9.7514,0,0,44.842,1,1,8008,4004
1079,1.1888e+08,0,0.0010834,-0.0013204,-0.0013008,0.029202,0.096267,-9.733,0,0,44.84,1,1,8008,4004
1194,1.1898e+08,0,0.0031634,0.001498,-0.00050493,0.036146,0.10024,-9.7564,0,0,44.838,1,1,8008,4004
1298,1.1904e+08,0,-0.00088137,-0.0026723,0.00072959,0.0038645,0.10932,-9.7649,0,0,44.839,1,1,8008,4004
1383,1.1906e+08,0,-0.0026201,0.00065656,-0.0020673,0.0073806,0.10077,-9.7602,0,0,44.839,1,1,8008,4004
1478,1.1907e+08,0,-0.0035167,0.0020231,-0.0025132,0.033801,0.075601,-9.7602,0,0,44.839,1,1,8008,4004
1571,1.1909e+08,0,-0.0053242,-0.00017519,-0.000598,0.038201,0.091887,-9.7694,0,0,44.839,1,1,8008,4004
1596,1.1909e+08,0,-0.0038644,0.00012176,-0.00062032,0.035517,0.093625,-9.7694,0,0,44.839,1,1,8008,4004
1631,1.1909e+08,0,-0.0026254,0.00040628,-0.00076376,0.032058,0.095976,-9.7692,0,0,44.839,1,1,8008,4004
1635,1.191e+08,0,-0.0027324,0.00010529,-0.0008132,0.030547,0.09877,-9.7669,0,0,44.839,1,1,8008,4004
1638,1.191e+08,0,-0.00421,-1.1951e-06,-0.0013169,0.028474,0.10302,-9.7616,0,0,44.839,1,1,8008,4004
1642,1.191e+08,0,-0.0046048,0.00013373,-0.0016659,0.02714,0.10682,-9.7596,0,0,44.839,1,1,8008,4004
1677,1.191e+08,0,-0.0034623,0.00081718,-0.0016686,0.025521,0.11042,-9.7574,0,0,44.84,1,1,8008,4004
1680,1.1911e+08,0,-0.002914,0.0012142,-0.0012633,0.025194,0.11007,-9.7555,0,0,44.84,1,1,8008,4004
1683,1.1911e+08,0,-0.0024763,0.00075745,-0.0004928,0.025372,0.10653,-9.7528,0,0,44.84,1,1,8008,4004
1686,1.1911e+08,0,-0.0024243,0.00065162,-0.00046029,0.025598,0.10424,-9.75,0,0,44.84,1,1,8008,4004
1721,1.1912e+08,0,-0.0026335,0.00021386,-0.00078915,0.025168,0.10508,-9.7438,0,0,44.84,1,1,8008,4004
1724,1.1912e+08,0,-0.0019764,5.7455e-05,-0.0013818,0.024088,0.10688,-9.742,0,0,44.84,1,1,8008,4004
