LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1570,60101717,0,0,0,0.2585996,-0.248115,-0.248115,-0.07000000000000001,NaN,0,-0.07588147000000001,57,57
1978,60204812,0,0,0,0.2585996,-0.1776786,-0.1776786,0,NaN,0,-0.005445004,57,57
2394,60308013,0,0,0,0.2585996,-0.1061451,-0.1061451,-0.14,NaN,0,0.06382259999999999,57,57
2808,60410910,0,0,0,0.2585996,-0.03929868,-0.03929868,-0.06,NaN,0,0.130669,57,57
3220,60513534,0,0,0,0.2585996,0.02507366,0.02507366,-0.33,NaN,0,0.1928517,57,57
3631,60615964,0,0,0,0.2585996,0.08347465,0.08347465,0.01,NaN,0,0.2512527,57,57
4041,60718911,0,0,0,0.2585996,0.1401681,0.1401681,0,NaN,0,0.3048714,57,57
4456,60822262,0,0,0,0.2585996,0.196315,0.196315,-0.24,NaN,0,0.3610184,57,57
4867,60924816,0,0,0,0.2585996,0.2469535,0.2469535,-0.07000000000000001,NaN,0,0.4092307,57,57
5272,61027518,0,0,0,0.2585996,0.2957728,0.2957728,-0.25,NaN,0,0.45805,57,57
5659,61129656,0,0,0,0.2585996,0.3378467,0.3378467,-0.18,NaN,0,0.4970493,56,56
6068,61232128,0,0,0,0.2585996,0.3781307,0.3781307,-0.09,NaN,0,0.5341823999999999,56,56
6476,61334266,0,0,0,0.2585996,0.4172093,0.4172093,-0.19,NaN,0,0.5732609,56,56
6884,61436446,0,0,0,0.2585996,0.4525335,0.4525335,-0.16,NaN,0,0.6056021,55,55
7268,61541045,0,0,0,0.2585996,0.4828994,0.4828994,-0.1,NaN,0,0.635968,55,55
7681,61642838,0,0,0,0.2585996,0.5130448,0.5130448,-0.36,NaN,0,0.6638474,54,54
8087,61745514,0,0,0,0.2585996,0.5399565,0.5399565,-0.05,NaN,0,0.6907591,53,53
8507,61848549,0,0,0,0.2585996,0.5600186,0.5600186,-0.2,NaN,0,0.7069302,53,53
8920,61952073,0,0,0,0.2585996,0.5802972,0.5802972,-0.25,NaN,0,0.7272089,52,52
9303,62054269,0,0,0,0.2585996,0.6009648,0.6009648,-0.17,NaN,0,0.7448094,51,51
9712,62157903,0,0,0,0.2585996,0.6161972999999999,0.6161972999999999,-0.18,NaN,0,0.760042,50,50
10126,62259328,0,0,0,0.2585996,0.6327869,0.6327869,-0.06,NaN,0,0.7719317999999999,49,49
10535,62362109,0,0,0,0.2585996,0.6452019,0.6452019,-0.35,NaN,0,0.7843468,48,48
10872,62464278,0,0,0,0.2585996,0.6575145,0.6575145,-0.37,NaN,0,0.79537,47,47
11279,62568318,0,0,0,0.2585996,0.6623096000000001,0.6623096000000001,-0.29,NaN,0,0.8001652,46,46
11663,62670294,0,0,0,0.2585996,0.6663525,0.6663525,-0.15,NaN,0,0.8001722,45,45
12073,62772888,0,0,0,0.2585996,0.6704494,0.6704494,-0.32,NaN,0,0.804269,44,44
12489,62875310,0,0,0,0.2585996,0.671813,0.671813,-0.5,NaN,0,0.8031988,43,43
12900,62979248,0,0,0,0.2585996,0.6678958,0.6678958,-0.44,NaN,0,0.7992816,42,42
13307,63081482,0,0,0,0.2585996,0.6601907,0.6601907,-0.32,NaN,0,0.7901193,40,40
13713,63183822,0,0,0,0.2585996,0.6515814,0.6515814,-0.35,NaN,0,0.78151,39,39
14129,63285851,0,0,0,0.2585996,0.6421474,0.6421474,-0.36,NaN,0,0.7675441,38,38
14542,63386854,0,0,0,0.2585996,0.6330029,0.6330029,-0.4,NaN,0,0.7583996,37,37
14949,63491050,0,0,0,0.2585996,0.6172451,0.6172451,-0.11,NaN,0,0.7382016,35,35
15363,63592900,0,0,0,0.2585996,0.6084252,0.6084252,-0.33,NaN,0,0.7293816,34,34
15771,63695557,0,0,0,0.2585996,0.5961193,0.5961193,-0.33,NaN,0,0.712315,33,33
16156,63796328,0,0,0,0.2585996,0.5855452,0.5855452,-0.38,NaN,0,0.7017409,32,32
16570,63898279,0,0,0,0.2585996,0.5735489,0.5735489,-0.32,NaN,0,0.6866699000000001,30,30
16978,64000262,0,0,0,0.2585996,0.5616593,0.5616593,-0.38,NaN,0,0.6747803999999999,29,29
17388,64105892,0,0,0,0.2585996,0.5439404,0.5439404,-0.25,NaN,0,0.6517972,28,28
17800,64207146,0,0,0,0.2585996,0.5302341,0.5302341,-0.28,NaN,0,0.6380908,27,27
18211,64310376,0,0,0,0.2585996,0.5050581,0.5050581,-0.29,NaN,0,0.6122663,25,25
18625,64412774,0,0,0,0.2585996,0.47359,0.47359,-0.44,NaN,0,0.5807982,23,23
19033,64514253,0,0,0,0.2585996,0.4385613,0.4385613,-0.33,NaN,0,0.5441598,21,21
19446,64615903,0,0,0,0.2585996,0.4006458,0.4006458,-0.33,NaN,0,0.5062442,19,19
19827,64720471,0,0,0,0.2585996,0.3607693,0.3607693,-0.27,NaN,0,0.4663677,17,17
20242,64824553,0,0,0,0.2585996,0.3222508,0.3222508,-0.23,NaN,0,0.4278493,15,15
20655,64928541,0,0,0,0.2585996,0.2861145,0.2861145,-0.29,NaN,0,0.3910645,13,13
21066,65029291,0,0,0,0.2585996,0.2654395,0.2654395,-0.05,NaN,0,0.3703895,12,12
21447,65132224,0,0,0,0.2585996,0.2363776,0.2363776,-0.44,NaN,0,0.3414955,11,11
21860,65233945,0,0,0,0.2585996,0.2140958,0.2140958,-0.33,NaN,0,0.3175885,10,10
22273,65336045,0,0,0,0.2585996,0.1848058,0.1848058,-0.41,NaN,0,0.2874898,8,8
22685,65438679,0,0,0,0.2585996,0.1582338,0.1582338,-0.15,NaN,0,0.2610857,7,7
23093,65542825,0,0,0,0.2585996,0.1264232,0.1264232,-0.37,NaN,0,0.2284664,5,5
23474,65645857,0,0,0,0.2585996,0.1023432,0.1023432,-0.22,NaN,0,0.2045542,4,4
23886,65747268,0,0,0,0.2585996,0.07776234,0.07776234,-0.41,NaN,0,0.1783483,3,3
24294,65849938,0,0,0,0.2585996,0.05269387,0.05269387,-0.32,NaN,0,0.1526466,2,2
24708,65951963,0,0,0,0.2585996,0.03117451,0.03117451,-0.44,NaN,0,0.1311272,1,1
25117,66056019,0,0,0,0.2585996,0.009159029000000001,0.009159029000000001,-0.28,NaN,0,0.1076545,0,0
25500,66158115,0,0,0,0.2585996,-0.01018977,-0.01018977,-0.44,NaN,0,0.08854985,0,0
25910,66261337,0,0,0,0.2585996,-0.0319934,-0.0319934,-0.41,NaN,0,0.06594513,-1,-1
26324,66364133,0,0,0,0.2585996,-0.05369333,-0.05369333,-0.32,NaN,0,0.042788,-2,-2
26729,66467897,0,0,0,0.2585996,-0.07143097,-0.07143097,-0.28,NaN,0,0.02505035,-3,-3
27141,66570370,0,0,0,0.2585996,-0.08620704999999999,-0.08620704999999999,-0.42,NaN,0,0.008649208,-4,-4
27551,66672260,0,0,0,0.2585996,-0.1008833,-0.1008833,-0.51,NaN,0,-0.007560551,-4,-4
27966,66775010,0,0,0,0.2585996,-0.1171338,-0.1171338,-0.24,NaN,0,-0.0246121,-5,-5
28347,66878080,0,0,0,0.2585996,-0.1334105,-0.1334105,-0.45,NaN,0,-0.04251391,-6,-6
28762,66980488,0,0,0,0.2585996,-0.1468417,-0.1468417,-0.24,NaN,0,-0.05578493,-7,-7
29171,67083520,0,0,0,0.2585996,-0.1595212,-0.1595212,-0.4,NaN,0,-0.06927311,-7,-7
29584,67184284,0,0,0,0.2585996,-0.1705773,-0.1705773,-0.54,NaN,0,-0.08170246,-7,-7
29987,67287339,0,0,0,0.2585996,-0.1832285,-0.1832285,-0.49,NaN,0,-0.0941935,-8,-8
30401,67387831,0,0,0,0.2585996,-0.1966671,-0.1966671,-0.38,NaN,0,-0.1082654,-8,-8
30809,67492559,0,0,0,0.2585996,-0.2109122,-0.2109122,-0.59,NaN,0,-0.1233191,-9,-9
31223,67594916,0,0,0,0.2585996,-0.226174,-0.226174,-0.25,NaN,0,-0.1400381,-9,-9
31603,67695913,0,0,0,0.2585996,-0.2399019,-0.2399019,-0.31,NaN,0,-0.1545748,-10,-10
32020,67798261,0,0,0,0.2585996,-0.2530216,-0.2530216,-0.39,NaN,0,-0.169144,-10,-10
32428,67901946,0,0,0,0.2585996,-0.2648081,-0.2648081,-0.48,NaN,0,-0.1833566,-11,-11
32843,68003294,0,0,0,0.2585996,-0.2766631,-0.2766631,-0.35,NaN,0,-0.1958602,-11,-11
33251,68107796,0,0,0,0.2585996,-0.2867497,-0.2867497,-0.41,NaN,0,-0.208373,-11,-11
33663,68209510,0,0,0,0.2585996,-0.2971779,-0.2971779,-0.21,NaN,0,-0.219442,-11,-11
34074,68311367,0,0,0,0.2585996,-0.3065087,-0.3065087,-0.36,NaN,0,-0.2303902,-12,-12
34487,68413232,0,0,0,0.2585996,-0.316337,-0.316337,-0.25,NaN,0,-0.2424768,-12,-12
34894,68517648,0,0,0,0.2585996,-0.3267128,-0.3267128,-0.29,NaN,0,-0.253669,-12,-12
35307,68620653,0,0,0,0.2585996,-0.3376495,-0.3376495,-0.27,NaN,0,-0.2654144,-13,-13
