LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
2013,60207352,4,0,0,15.23,0.04,26,0,0,0
2435,60316046,4,0,0,15.23,0.04,26,0,0,0
2849,60418681,4,0,0,15.24,0.03,26,0,0,0
3302,60531376,4,0,0,15.23,0.03,26,0,0,0
3714,60634316,4,0,0,15.23,0.04,26,0,0,0
4165,60745046,4,0,0,15.24,0.04,26,0,0,0
4582,60851283,4,0,0,15.24,0.04,26,0,0,0
4993,60955787,4,0,0,15.24,0.04,26,0,0,0
5442,61071360,4,0,0,15.23,0.04,26,0,0,0
6265,61280311,4,0,0,15.23,0.04,26,0,0,0
6674,61383819,4,0,0,15.24,0.04,26,0,0,0
7135,61501821,4,0,0,15.24,0.04,26,0,0,0
7548,61606936,4,0,0,15.24,0.04,26,0,0,0
7964,61715221,4,0,0,15.23,0.04,26,0,0,0
8380,61818026,4,0,0,15.24,0.04,26,0,0,0
8796,61920507,4,0,0,15.23,0.04,26,0,0,0
9255,62039369,4,0,0,15.23,0.04,26,0,0,0
9667,62144476,4,0,0,15.24,0.04,26,0,0,0
10081,62247104,4,0,0,15.24,0.03,26,0,0,0
10531,62359516,4,0,0,15.24,0.03,26,0,0,0
10879,62467174,4,0,0,15.23,0.03,26,0,0,0
11324,62578521,4,0,0,15.24,0.03,26,0,0,0
11742,62685917,4,0,0,15.25,0.03,26,0,0,0
12153,62788719,4,0,0,15.23,0.03,26,0,0,0
12608,62901793,4,0,0,15.24,0.03,26,0,0,0
13019,63004810,4,0,0,15.24,0.03,26,0,0,0
13467,63117463,4,0,0,15.23,0.03,26,0,0,0
13872,63219382,4,0,0,15.23,0.03,26,0,0,0
14293,63324720,4,0,0,15.23,0.03,26,0,0,0
15156,63541285,4,0,0,15.23,0.04,26,0,0,0
15569,63647387,4,0,0,15.24,0.03,26,0,0,0
16025,63761110,4,0,0,15.24,0.03,26,0,0,0
16442,63866093,4,0,0,15.24,0.03,26,0,0,0
16853,63967928,4,0,0,15.24,0.04,26,0,0,0
17306,64083822,4,0,0,15.24,0.03,26,0,0,0
17719,64187319,4,0,0,15.24,0.03,26,0,0,0
18133,64292545,4,0,0,15.24,0.04,26,0,0,0
18587,64405340,4,0,0,15.23,0.03,26,0,0,0
18995,64507441,4,0,0,15.23,0.03,26,0,0,0
19453,64618659,4,0,0,15.24,0.03,26,0,0,0
20320,64841884,4,0,0,15.23,0.03,26,0,0,0
20736,64946686,4,0,0,15.24,0.03,26,0,0,0
21147,65049964,4,0,0,15.24,0.03,26,0,0,0
21573,65162797,4,0,0,15.24,0.03,26,0,0,0
21983,65264939,4,0,0,15.24,0.03,26,0,0,0
22439,65377261,4,0,0,15.24,0.03,26,0,0,0
22851,65482312,4,0,0,15.24,0.03,26,0,0,0
23266,65585934,4,0,0,15.23,0.03,26,0,0,0
23715,65702804,4,0,0,15.24,0.03,26,0,0,0
24130,65806260,4,0,0,15.24,0.04,26,0,0,0
24541,65909907,4,0,0,15.23,0.03,26,0,0,0
24997,66024137,4,0,0,15.24,0.04,26,0,0,0
25407,66130135,4,0,0,15.24,0.03,26,0,0,0
25822,66238504,4,0,0,15.24,0.03,26,0,0,0
26238,66340379,4,0,0,15.24,0.04,26,0,0,0
26650,66450273,4,0,0,15.23,0.04,26,0,0,0
27103,66562240,4,0,0,15.24,0.04,26,0,0,0
27516,66667087,4,0,0,15.24,0.04,26,0,0,0
27976,66779717,4,0,0,15.24,0.04,26,0,0,0
28390,66885525,4,0,0,15.24,0.04,26,0,0,0
28804,66988907,4,0,0,15.24,0.04,26,0,0,0
29249,67098497,4,0,0,15.23,0.04,26,0,0,0
29665,67201978,4,0,0,15.23,0.04,26,0,0,0
30076,67309994,4,0,0,15.23,0.04,26,0,0,0
30530,67421272,4,0,0,15.23,0.04,26,0,0,0
30939,67524968,4,0,0,15.24,0.04,26,0,0,0
31392,67637108,4,0,0,15.24,0.04,26,0,0,0
31847,67753033,4,0,0,15.24,0.04,26,0,0,0
32221,67844640,4,0,0,15.24,0.04,26,0,0,0
32675,67961427,4,0,0,15.24,0.04,26,0,0,0
33087,68066681,4,0,0,15.23,0.04,26,0,0,0
33499,68169660,4,0,0,15.24,0.03,26,0,0,0
33950,68280894,4,0,0,15.24,0.04,26,0,0,0
34403,68393230,4,0,0,15.24,0.04,26,0,0,0
34813,68497134,4,0,0,15.24,0.03,26,0,0,0
35266,68609841,4,0,0,15.24,0.04,26,0,0,0
35677,68715473,4,0,0,15.25,0.04,26,0,0,0
36093,68818042,4,0,0,15.23,0.04,26,0,0,0
36544,68929081,4,0,0,15.24,0.03,26,0,0,0
36958,69030495,4,0,0,15.24,0.04,26,0,0,0
37410,69146290,4,0,0,15.24,0.04,26,0,0,0
37824,69253222,4,0,0,15.24,0.04,26,0,0,0
38240,69356887,4,0,0,15.23,0.04,26,0,0,0
39109,69578266,4,0,0,15.24,0.04,26,0,0,0
39518,69683348,4,0,0,15.23,0.04,26,0,0,0
39934,69787523,4,0,0,15.24,0.04,26,0,0,0
40380,69899934,4,0,0,15.24,0.04,26,0,0,0
40839,70015804,4,0,0,15.24,0.03,26,0,0,0
41250,70123039,4,0,0,15.24,0.04,26,0,0,0
41665,70226078,4,0,0,15.23,0.04,26,0,0,0
42075,70328962,4,0,0,15.23,0.04,26,0,0,0
42533,70444285,4,0,0,15.23,0.03,26,0,0,0
42947,70553009,4,0,0,15.23,0.04,26,0,0,0
43363,70661683,4,0,0,15.24,0.04,26,0,0,0
43776,70763480,4,0,0,15.24,0.04,26,0,0,0
44193,70872289,4,0,0,15.24,0.04,26,0,0,0
44606,70974565,4,0,0,15.24,0.03,26,0,0,0
45060,71090949,4,0,0,15.23,0.03,26,0,0,0
45472,71192890,4,0,0,15.23,0.03,26,0,0,0
45890,71299292,4,0,0,15.24,0.03,26,0,0,0
46343,71411873,4,0,0,15.24,0.03,26,0,0,0
46755,71518827,4,0,0,15.23,0.03,26,0,0,0
47210,71633117,4,0,0,15.23,0.03,26,0,0,0
47623,71741081,4,0,0,15.23,0.03,26,0,0,0
48043,71843840,4,0,0,15.23,0.03,26,0,0,0
48492,71950074,4,0,0,15.23,0.03,26,0,0,0
48947,72059512,4,0,0,15.24,0.03,26,0,0,0
49402,72163976,4,0,0,15.23,0.03,26,0,0,0
49855,72272936,4,0,0,15.24,0.03,26,0,0,0
50308,72376813,4,0,0,15.24,0.03,26,0,0,0
50802,72492549,4,0,0,15.23,0.03,26,0,0,0
51259,72598057,4,0,0,15.24,0.03,26,0,0,0
51750,72708042,4,0,0,15.24,0.03,26,0,0,0
52207,72814811,4,0,0,15.23,0.03,26,0,0,0
52701,72927859,4,0,0,15.23,0.03,26,0,0,0
53152,73030055,4,0,0,15.24,0.03,26,0,0,0
54102,73256041,4,0,0,15.23,0.04,26,0,0,0
54554,73359934,4,0,0,15.23,0.03,26,0,0,0
55005,73466057,4,0,0,15.24,0.03,26,0,0,0
55460,73570693,4,0,0,15.23,0.03,26,0,0,0
55914,73676495,4,0,0,15.23,0.03,26,0,0,0
56417,73789893,4,0,0,15.23,0.03,26,0,0,0
56869,73895253,4,12,314,15.23,0.02,26,0,0,0
57133,73999531,4,313,300,15.22,0.05,26,0,0,0
57594,74112269,4,331,685,15.21,0.11,26,0,0,0
58046,74216071,4,691,1071,15.2,0.14,26,0,0,0
58539,74330384,4,1081,1185,15.22,0.11,26,0,0,0
58991,74433626,4,1186,1214,15.22,0.11,26,0,0,0
59446,74543009,4,1214,1228,15.22,0.09999999,26,0,0,0
60356,74756021,4,1228,1242,15.22,0.09999999,26,0,0,0
60848,74870680,4,1242,1242,15.22,0.09999999,26,0,0,0
61299,74972290,4,1242,1242,15.23,0.09999999,26,0,0,0
61515,75078879,4,1242,1242,15.22,0.09999999,26,0,0,0
62016,75190288,4,1242,1242,15.22,0.09999999,26,0,0,0
62467,75295844,4,1242,1242,15.22,0.09999999,26,0,0,0
62967,75407916,4,1242,1242,15.22,0.09999999,26,0,0,0
63383,75513519,4,1242,1242,15.22,0.09999999,26,0,0,0
63840,75618077,4,1242,1242,15.22,0.09999999,26,0,0,0
64335,75731332,4,1242,1242,15.22,0.09999999,26,0,0,0
64796,75843377,4,1249,1314,15.2,0.15,26,0,0,0
65253,75948324,4,1339,1585,15.1,0.5,26,0,0,0
65708,76056855,4,1660,2428,15.13,0.77,26,0,0,0
66162,76161299,4,2462,2942,15.19,1.44,26,0,0,0
66612,76268079,4,2947,3357,14.94,1.33,26,0,0,0
67108,76382811,4,3393,3900,14.92,1.78,26,0,0,0
67561,76494901,4,3955,4514,14.84,2.42,26,0,0,0
68013,76602829,4,4569,5128,14.64,3.1,26,0,0,0
68465,76710437,4,5164,5528,14.54,4.07,26,0,0,0
68919,76817296,4,5563,6028,14.52,4.14,26,0,0,0
69372,76926368,4,6022,5971,14.64,3.58,26,0,0,0
69826,77036570,4,5989,6157,14.51,3.74,26,1,0,0
70275,77141800,4,6138,5871,14.57,2.97,26,1,0,0
70771,77258896,4,5855,5700,14.61,2.82,26,1,0,0
71223,77362290,4,5700,5700,14.63,2.81,26,1,0,0
72132,77579865,4,5691,5457,14.6,2.72,26,1,0,0
72547,77684920,4,5453,5285,14.59,2.14,27,1,0,0
73045,77801123,4,5277,5200,14.58,2.62,27,1,0,0
73456,77902129,4,5201,5271,14.59,2.41,27,1,0,0
73956,78019077,4,5271,5271,14.61,2.55,27,1,0,0
74403,78125335,4,5275,5385,14.61,2.73,27,1,0,0
74906,78250411,4,5385,5385,14.63,2.76,26,1,0,0
75316,78345111,4,5388,5600,14.57,2.8,27,2,0,0
75806,78462176,4,5592,5528,14.63,3.02,27,2,0,0
76262,78571870,4,5534,5628,14.54,3.17,27,2,0,0
76675,78672270,4,5629,5657,14.56,3.28,27,2,0,0
77171,78788078,4,5663,5728,14.6,3.07,27,2,0,0
77619,78893788,4,5728,5742,14.55,3.17,27,2,0,0
78073,79001828,4,5752,5885,14.57,3.15,27,2,0,0
