LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
186,5.9683e+07,2,-0.00078974,0.0022388,-0.0010901,-0.24353,-0.10592,-9.8256,0,0,36.752,1,1,7746,3872
293,5.9712e+07,2,-0.00028638,0.00058549,0.0024573,-0.24486,-0.095406,-9.8301,0,0,36.753,1,1,7746,3872
324,5.9715e+07,2,-0.0012107,0.00065751,0.0027879,-0.24337,-0.097926,-9.8346,0,0,36.753,1,1,7746,3872
405,5.9739e+07,2,0.0012604,0.0010847,0.0010466,-0.24015,-0.11243,-9.841,0,0,36.754,1,1,7746,3872
436,5.9742e+07,2,0.0019407,0.00071656,0.0015812,-0.24124,-0.1136,-9.8381,0,0,36.754,1,1,7746,3872
516,5.9758e+07,2,-0.00085946,-0.0009557,0.0015836,-0.23401,-0.12701,-9.7987,0,0,36.754,1,1,7746,3872
632,5.9779e+07,2,0.00039334,-0.00013396,-0.00022008,-0.22658,-0.10603,-9.8186,0,0,36.755,1,1,7746,3872
747,5.98e+07,2,-0.0021962,-0.00069493,-0.0012745,-0.22788,-0.11232,-9.8357,0,0,36.755,1,1,7746,3872
862,5.9826e+07,2,-0.00059663,-0.00026947,0.00061045,-0.22339,-0.1144,-9.8329,0,0,36.756,1,1,7746,3872
980,5.9853e+07,2,0.00025938,-0.0031125,-0.00080751,-0.2382,-0.10282,-9.7985,0,0,36.756,1,1,7746,3872
1093,5.9911e+07,2,6.4164e-06,0.00013017,-0.000804,-0.25373,-0.10143,-9.8401,0,0,36.755,1,1,7746,3872
1208,6.0015e+07,2,0.00090407,0.00093484,-0.000399,-0.21977,-0.11713,-9.8209,0,0,36.754,1,1,7746,3872
1239,6.0017e+07,2,-0.00043446,0.00025944,-0.0010225,-0.21913,-0.11978,-9.8177,0,0,36.754,1,1,7746,3872
1295,6.0044e+07,2,0.00051579,-0.00013529,-0.00011489,-0.222,-0.11856,-9.8174,0,0,36.754,1,1,7746,3872
1328,6.0047e+07,2,0.00023581,0.00098437,-0.00057816,-0.22475,-0.11713,-9.8229,0,0,36.754,1,1,7746,3872
1389,6.0064e+07,2,-0.0013458,-0.00092627,0.0011684,-0.2225,-0.11052,-9.8269,0,0,36.754,1,1,7746,3872
1482,6.0085e+07,2,7.7024e-05,-0.00099824,0.0016464,-0.22205,-0.10725,-9.8115,0,0,36.754,1,1,7746,3872
1548,6.0089e+07,2,0.00019171,-0.0020147,0.00022836,-0.22124,-0.11032,-9.812,0,0,36.754,1,1,7746,3872
1551,6.0091e+07,2,7.4926e-05,-0.0025942,0.00065512,-0.22204,-0.11244,-9.8127,0,0,36.754,1,1,7746,3872
1565,6.0099e+07,2,-0.00012262,-0.0025984,0.0010334,-0.22464,-0.11382,-9.814,0,0,36.753,1,1,7746,3872
1573,6.0102e+07,2,-0.00069971,-0.0024764,0.00067145,-0.22289,-0.11032,-9.8151,0,0,36.753,1,1,7746,3872
1604,6.0104e+07,2,-0.00077392,-0.0022355,0.00044598,-0.22233,-0.10855,-9.8135,0,0,36.753,1,1,7746,3872
1607,6.0107e+07,2,-0.00049356,-0.0015049,8.9493e-06,-0.22247,-0.10841,-9.814,0,0,36.753,1,1,7746,3872
1610,6.011e+07,2,-9.7476e-05,-0.00063039,-0.00052944,-0.22322,-0.10838,-9.8173,0,0,36.753,1,1,7746,3872
1613,6.0112e+07,2,0.00047358,-0.00052633,-0.0013107,-0.2237,-0.10759,-9.825,0,0,36.753,1,1,7746,3872
1644,6.0114e+07,2,0.00072602,-0.00026612,-0.00106,-0.22398,-0.10691,-9.8346,0,0,36.753,1,1,7746,3872
1648,6.0117e+07,2,0.00053161,-0.0002374,-0.0011294,-0.22496,-0.10647,-9.8369,0,0,36.753,1,1,7746,3872
1652,6.012e+07,2,0.00036509,0.00037115,-0.00076482,-0.23101,-0.10477,-9.8415,0,0,36.753,1,1,7746,3872
1655,6.0123e+07,2,0.00026839,0.0004322,-0.00089513,-0.23746,-0.10292,-9.8405,0,0,36.753,1,1,7746,3872
1686,6.0125e+07,2,0.00033536,0.00011836,-0.0010983,-0.24568,-0.10201,-9.8356,0,0,36.753,1,1,7746,3872
1689,6.0128e+07,2,0.0015424,-0.0010768,-4.9159e-05,-0.24881,-0.10293,-9.8299,0,0,36.753,1,1,7746,3872
1692,6.013e+07,2,0.0024754,-0.0012804,4.9429e-05,-0.24796,-0.10359,-9.8276,0,0,36.753,1,1,7746,3872
1695,6.0132e+07,2,0.0017729,-0.0015884,-0.00099171,-0.24756,-0.10357,-9.8246,0,0,36.753,1,1,7746,3872
1726,6.0136e+07,2,0.0011454,-0.001327,-0.0014063,-0.24634,-0.10353,-9.8231,0,0,36.753,1,1,7746,3872
1730,6.0138e+07,2,0.00036134,0.00011517,-0.0022076,-0.24357,-0.10415,-9.8198,0,0,36.753,1,1,7746,3872
1733,6.0141e+07,2,-0.00028322,0.0015125,-0.0025304,-0.24063,-0.10539,-9.8176,0,0,36.753,1,1,7746,3872
1736,6.0143e+07,2,-0.00052563,0.0025747,-0.0020997,-0.23974,-0.1064,-9.8172,0,0,36.753,1,1,7746,3872
1767,6.0146e+07,2,-0.00083774,0.0028961,-0.00146,-0.23834,-0.10707,-9.8189,0,0,36.753,1,1,7746,3872
1770,6.0149e+07,2,-0.00090128,0.0029339,-0.0016454,-0.23811,-0.10729,-9.8201,0,0,36.753,1,1,7746,3872
1773,6.0153e+07,2,0.00056755,0.0022661,-0.0038529,-0.24153,-0.11115,-9.8259,0,0,36.753,1,1,7746,3872
1804,6.0156e+07,2,0.0012274,0.0024469,-0.0035198,-0.24309,-0.11089,-9.826,0,0,36.753,1,1,7746,3872
1808,6.0158e+07,2,0.0029087,0.0021857,-0.0015053,-0.24567,-0.11315,-9.8273,0,0,36.753,1,1,7746,3872
1811,6.0161e+07,2,0.0021341,0.0013111,-0.00050978,-0.2483,-0.11368,-9.8293,0,0,36.753,1,1,7746,3872
1814,6.0164e+07,2,0.00070946,0.00072043,0.00065453,-0.25123,-0.11409,-9.8309,0,0,36.753,1,1,7746,3872
1845,6.0166e+07,2,-0.00028177,0.0010181,0.0012885,-0.2546,-0.1144,-9.8292,0,0,36.753,1,1,7746,3872
1849,6.0169e+07,2,-3.2371e-05,0.0017983,0.00082762,-0.25568,-0.11301,-9.8257,0,0,36.753,1,1,7746,3872
1852,6.0171e+07,2,-0.00014358,0.0020741,0.00082475,-0.25512,-0.11335,-9.8219,0,0,36.753,1,1,7746,3872
