LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
301,59711083,0,1.66,-1.14,16.35,-0.002785271,-0.0004553048,-0.004307215,-0.1311314,1.736574,0.008061273000000001,0.3569212,-0.01,0,-0.12,90.33
413,59737913,0,1.66,-1.14,16.35,-0.002949887,-0.0003206087,-0.004817717,-0.1232636,1.736574,0.008061273000000001,0.3540567,-0.01,0,-0.12,90.33
1216,60013991,0,1.66,-1.15,16.38,-0.002272866,-0.0002731445,-0.5731368999999999,-0.5561019,1.703178,0.01612255,0.3059739,-0.01,0,-0.11,90.33
1303,60042977,0,1.66,-1.15,16.38,-0.001837954,-0.0002230302,-0.5734915,-0.5643321,1.703178,0.01612255,0.2874259,-0.01,0,-0.12,90.33
1559,60089988,0,1.66,-1.15,16.39,-0.0009433994,-5.057685e-05,-0.5740782,-0.5987601,1.658651,0.03224509,0.2551961,-0.01,0,-0.12,90.33
1581,60100335,0,1.66,-1.15,16.39,-0.0009451458,2.14657e-05,-0.5742931,-0.6087233,1.658651,0.03224509,0.248115,-0.01,0,-0.12,90.33
1621,60110962,0,1.66,-1.15,16.39,-0.0008741171,-2.996393e-05,-0.5744726,-0.6182767,1.658651,0.03224509,0.241108,-0.01,0,-0.12,90.33
1663,60121267,0,1.66,-1.15,16.39,-0.0009110407,0.0001527252,-0.5746262,-0.6289876,1.658651,0.03224509,0.2335993,-0.01,0,-0.12,90.33
1703,60131883,0,1.66,-1.15,16.39,-0.001099019,0.0002123129,-0.5747962,-0.6384307,1.658651,0.03224509,0.2278585,-0.01,0,-0.12,90.33
1744,60141984,0,1.66,-1.15,16.39,-0.001328579,0.0002052196,-0.5751647,-0.6483557,1.658651,0.03224509,0.2198722,-0.01,0,-0.12,90.33
1781,60152348,0,1.66,-1.15,16.39,-0.001587127,0.0002245205,-0.5752477,-0.6565121,1.658651,0.03224509,0.2125428,-0.01,0,-0.12,90.33
1822,60162386,0,1.66,-1.15,16.39,-0.001591446,7.481188999999999e-05,-0.5754966,-0.6636725999999999,1.658651,0.03224509,0.2052947,-0.01,0,-0.12,90.33
1863,60172935,0,1.66,-1.15,16.39,-0.001557858,2.404789e-05,-0.5757927,-0.6702635,1.658651,0.03224509,0.1981243,-0.01,0,-0.12,90.33
1903,60183074,0,1.66,-1.15,16.39,-0.001686619,3.790241e-05,-0.5759597,-0.6775932,1.658651,0.03224509,0.1904561,-0.01,0,-0.12,90.33
1944,60193589,0,1.66,-1.15,16.39,-0.001661081,-1.773582e-05,-0.5757238,-0.6836265,1.658651,0.03224509,0.1847043,-0.01,0,-0.12,90.33
1989,60203521,0,1.66,-1.15,16.39,-0.001612514,-1.006551e-05,-0.5759757,-0.6879489,1.658651,0.03224509,0.1776786,-0.01,0,-0.12,90.33
2031,60213525,0,1.66,-1.15,16.39,-0.001454321,-1.260971e-05,-0.5762524999999999,-0.6910739,1.658651,0.03224509,0.1707197,-0.01,0,-0.12,90.33
2073,60224005,0,1.66,-1.15,16.39,-0.001474655,7.505801e-05,-0.5764714,-0.6937153,1.636387,0.04030636,0.1632507,-0.01,0,-0.12,90.33
2114,60234045,0,1.66,-1.15,16.39,-0.001502465,2.62961e-05,-0.5765148,-0.6930066,1.636387,0.04030636,0.15641,-0.01,0,-0.12,90.33
2155,60244951,0,1.66,-1.15,16.39,-0.00137986,6.590773e-05,-0.5763855,-0.6927215,1.636387,0.04030636,0.1506525,-0.01,0,-0.12,90.33
2195,60255593,0,1.66,-1.15,16.39,-0.001302896,0.0001799834,-0.5766199,-0.6930156,1.636387,0.04030636,0.1427532,-0.01,0,-0.12,90.33
