LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
185,1.2924e+07,0,1.45,0.01,-0.89,6.27,6.25,0,0.03,3
981,1.312e+07,0,1.45,0.01,-0.89,6.39,6.37,0,0.02,3
1093,1.3168e+07,0,1.46,0.01,-0.89,6.41,6.39,0,0.02,3
1479,1.3335e+07,0,1.46,0.01,-0.89,6.47,6.45,0,0.02,3
1555,1.3346e+07,0,1.46,0.01,-0.89,6.48,6.46,0,0.02,3
1596,1.3356e+07,0,1.45,0.01,-0.89,6.49,6.47,0,0.02,3
1636,1.3366e+07,0,1.45,0.01,-0.89,6.49,6.48,0,0.02,3
1680,1.3377e+07,0,1.45,0.01,-0.89,6.5,6.48,0,0.02,3
1721,1.3387e+07,0,1.45,0.01,-0.89,6.51,6.49,0,0.02,3
1761,1.3398e+07,0,1.45,0.01,-0.89,6.53,6.51,0,0.02,3
1804,1.3408e+07,0,1.45,0.01,-0.89,6.54,6.52,0,0.02,3
1848,1.3419e+07,0,1.45,0.01,-0.89,6.55,6.53,0,0.02,3
1889,1.3429e+07,0,1.45,0.01,-0.89,6.56,6.55,0,0.02,3
1929,1.344e+07,0,1.45,0.01,-0.9,6.58,6.56,0,0.02,3
1970,1.345e+07,0,1.46,0.01,-0.9,6.59,6.57,0,0.02,3
2009,1.346e+07,0,1.46,0.01,-0.9,6.6,6.59,0,0.02,3
2050,1.3471e+07,0,1.46,0.01,-0.9,6.62,6.6,0,0.02,3
2091,1.3481e+07,0,1.46,0.01,-0.9,6.64,6.62,0,0.02,3
2131,1.3491e+07,0,1.46,0.01,-0.9,6.65,6.64,0,0.02,3
2173,1.3502e+07,0,1.46,0.01,-0.89,6.67,6.65,0,0.02,3
2214,1.3512e+07,0,1.47,0.01,-0.89,6.68,6.66,0,0.02,3
2259,1.3522e+07,0,1.47,0.01,-0.89,6.7,6.68,0,0.02,3
2300,1.3532e+07,0,1.47,0.01,-0.89,6.71,6.69,0,0.02,3
2340,1.3542e+07,0,1.47,0.01,-0.89,6.72,6.7,0,0.02,3
