LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
295,49080064,0,1.66,0,-1.56,16.44,16.42,0,0.01,3
522,49126296,0,1.66,0,-1.56,16.45,16.42,0,0.01,3
863,49188235,0,1.66,0,-1.56,16.45,16.43,0,0.01,3
983,49216807,0,1.66,0,-1.56,16.45,16.43,0,0.01,3
1200,49328846,0,1.66,0,-1.56,16.45,16.43,0,0.01,3
1393,49425245,0,1.66,0,-1.56,16.46,16.44,0,0.01,3
1613,49451417,0,1.66,0,-1.56,16.46,16.44,0,0.01,3
1654,49461489,0,1.66,0,-1.56,16.46,16.44,0,0.01,3
1677,49482318,0,1.66,0,-1.57,16.46,16.44,0,0.01,3
1721,49492827,0,1.66,0,-1.57,16.46,16.44,0,0.01,3
1762,49502849,0,1.66,0,-1.57,16.46,16.44,0,0.01,3
1803,49513196,0,1.65,0,-1.57,16.46,16.44,0,0.01,3
1844,49522812,0,1.65,0,-1.57,16.46,16.44,0,0.01,3
1885,49533012,0,1.65,0,-1.57,16.46,16.44,0,0.01,3
1926,49543244,0,1.66,0,-1.57,16.46,16.43,0,0.01,3
1966,49553689,0,1.66,0,-1.57,16.45,16.43,0,0.01,3
2007,49563303,0,1.66,0,-1.57,16.45,16.43,0,0.01,3
2049,49573163,0,1.66,0,-1.57,16.45,16.43,0,0.01,3
2091,49583088,0,1.66,0,-1.57,16.45,16.43,0,0.01,3
2136,49593794,0,1.66,0,-1.57,16.45,16.42,0,0.01,3
2176,49603857,0,1.66,0,-1.57,16.45,16.42,0,0.01,3
2218,49614182,0,1.66,0,-1.57,16.44,16.42,0,0.01,3
2258,49626681,0,1.66,0,-1.57,16.44,16.42,0,0.01,3
2299,49637226,0,1.66,0,-1.57,16.44,16.42,0,0.01,3
2341,49647714,0,1.66,0,-1.56,16.43,16.41,0,0.01,3
2381,49657300,0,1.65,0,-1.56,16.43,16.41,0,0.01,3
2422,49668078,0,1.65,0,-1.56,16.43,16.41,0,0.01,3
2462,49678037,0,1.65,0,-1.56,16.42,16.4,0,0.01,3
2508,49688328,0,1.65,0,-1.57,16.42,16.4,0,0.01,3
2549,49698772,0,1.65,0,-1.57,16.41,16.39,0,0.02,3
2589,49708865,0,1.66,0,-1.57,16.41,16.39,0,0.02,3
2631,49719190,0,1.66,0,-1.57,16.41,16.39,0,0.02,3
2671,49729014,0,1.66,0,-1.57,16.41,16.39,0,0.02,3
2709,49739036,0,1.66,0,-1.57,16.4,16.38,0,0.02,3
2749,49749392,0,1.66,0,-1.57,16.4,16.38,0,0.02,3
2790,49759064,0,1.66,0,-1.57,16.39,16.37,0,0.02,3
2832,49769246,0,1.66,0,-1.57,16.39,16.37,0,0.02,3
2872,49779164,0,1.66,0,-1.57,16.39,16.37,0,0.02,3
2919,49789824,0,1.66,0,-1.57,16.38,16.36,0,0.02,3
2960,49799882,0,1.66,0,-1.57,16.38,16.36,0,0.01,3
3006,49809987,0,1.65,0,-1.57,16.38,16.36,0,0.01,3
3047,49820026,0,1.65,0,-1.57,16.37,16.35,0,0.01,3
3088,49829854,0,1.65,0,-1.57,16.37,16.35,0,0.01,3
3125,49840885,0,1.65,0,-1.57,16.37,16.35,0,0.01,3
3166,49851296,0,1.65,0,-1.57,16.36,16.34,0,0.01,3
3208,49861271,0,1.65,0,-1.57,16.36,16.34,0,0.01,3
3249,49871162,0,1.65,0,-1.57,16.36,16.34,0,0.01,3
3290,49881298,0,1.65,0,-1.57,16.36,16.34,0,0.01,3
3338,49891889,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3378,49902677,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3419,49912704,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3459,49922782,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3500,49932290,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3542,49942709,0,1.66,0,-1.57,16.35,16.33,0,0.01,3
3582,49952826,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3623,49963066,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3664,49972997,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3706,49982892,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3753,49993638,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3793,50003431,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3834,50013754,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3874,50023451,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3915,50033484,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3955,50046163,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
3996,50057026,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4037,50067434,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4078,50077382,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4120,50087262,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4166,50097294,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4207,50107875,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4248,50118231,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4288,50128475,0,1.65,0,-1.57,16.35,16.33,0,0.01,3
4330,50138201,0,1.64,0,-1.57,16.35,16.33,0,0.01,3
4367,50148210,0,1.64,0,-1.57,16.35,16.33,0,0.01,3
4408,50158055,0,1.64,0,-1.57,16.35,16.33,0,0.01,3
4448,50168695,0,1.64,0,-1.57,16.34,16.33,0,0.01,3
4489,50178386,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
4530,50188065,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
4577,50198235,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
4618,50208240,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
4658,50218460,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
4699,50228175,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4739,50240938,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4780,50251058,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4820,50261383,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4862,50271326,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4903,50281822,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4945,50292272,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
4991,50302753,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5031,50312830,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5074,50323154,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5115,50335722,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
5156,50346041,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
5194,50356177,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
5234,50366224,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5275,50376243,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5318,50386245,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5359,50396706,0,1.65,0,-1.57,16.34,16.32,0,0.01,3
5404,50406765,0,1.65,0,-1.56,16.34,16.32,0,0,3
5445,50416893,0,1.65,0,-1.56,16.34,16.32,0,0,3
5486,50426809,0,1.65,0,-1.56,16.33,16.31,0,0,3
5526,50437179,0,1.65,0,-1.57,16.33,16.31,0,0,3
5567,50449811,0,1.65,0,-1.57,16.33,16.31,0,0,3
5605,50460006,0,1.65,0,-1.57,16.33,16.31,0,0,3
5646,50470721,0,1.65,0,-1.57,16.33,16.31,0,0,3
5687,50480449,0,1.64,0,-1.57,16.33,16.31,0,0,3
5727,50490267,0,1.64,0,-1.57,16.33,16.31,0,0,3
5772,50500767,0,1.64,0,-1.56,16.33,16.31,0,0,3
5812,50510282,0,1.64,0,-1.57,16.33,16.31,0,0,3
5855,50520837,0,1.64,0,-1.57,16.33,16.31,0,0,3
5895,50531223,0,1.64,0,-1.57,16.33,16.31,0,0,3
5933,50541425,0,1.64,0,-1.57,16.33,16.31,0,0,3
5973,50550941,0,1.64,0,-1.57,16.33,16.31,0,0,3
6010,50561266,0,1.64,0,-1.57,16.33,16.31,0,0,3
6051,50571053,0,1.64,0,-1.57,16.33,16.31,0,0,3
6097,50583797,0,1.64,0,-1.57,16.33,16.31,0,0,3
6137,50594180,0,1.64,0,-1.56,16.34,16.32,0,0,3
6185,50606938,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6225,50617233,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6266,50627188,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6307,50636909,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6346,50649501,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6386,50659450,0,1.64,0,-1.56,16.34,16.32,0,0.01,3
6427,50669855,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
6469,50680029,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
6509,50690217,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
6550,50700725,0,1.64,0,-1.57,16.34,16.32,0,0.01,3
6595,50710430,0,1.64,0,-1.57,16.34,16.32,0,0,3
6635,50721073,0,1.64,0,-1.57,16.34,16.32,0,0,3
6677,50731349,0,1.64,0,-1.57,16.34,16.32,0,0,3
6718,50741598,0,1.64,0,-1.57,16.33,16.31,0,0,3
6756,50751433,0,1.64,0,-1.57,16.34,16.32,0,0,3
6797,50764414,0,1.64,0,-1.57,16.34,16.32,0,0,3
6837,50774750,0,1.64,0,-1.57,16.33,16.31,0,0,3
6879,50784441,0,1.64,0,-1.56,16.33,16.31,0,0,3
6923,50794415,0,1.64,0,-1.57,16.33,16.31,0,0,3
6968,50805304,0,1.64,0,-1.57,16.34,16.32,0,0,3
7008,50815450,0,1.64,0,-1.56,16.34,16.32,0,0,3
7049,50825064,0,1.64,0,-1.56,16.34,16.32,0,0,3
7091,50835221,0,1.64,0,-1.56,16.34,16.32,0,0,3
7132,50844981,0,1.64,0,-1.56,16.34,16.32,0,0,3
7177,50857587,0,1.64,0,-1.56,16.34,16.32,0,0,3
7217,50868428,0,1.64,0,-1.56,16.34,16.32,0,0,3
7259,50878806,0,1.64,0,-1.56,16.34,16.32,0,0,3
7300,50888815,0,1.64,0,-1.56,16.34,16.32,0,0,3
7340,50898819,0,1.64,0,-1.56,16.34,16.32,0,0,3
7386,50908858,0,1.64,0,-1.56,16.34,16.32,0,0,3
7427,50919176,0,1.64,0,-1.56,16.34,16.32,0,0,3
7468,50929494,0,1.64,0,-1.56,16.34,16.32,0,0,3
7508,50939003,0,1.64,0,-1.56,16.34,16.33,0,0,3
7550,50949074,0,1.64,0,-1.56,16.35,16.33,0,0,3
7590,50959067,0,1.64,0,-1.56,16.35,16.33,0,0,3
7631,50969762,0,1.63,0,-1.56,16.35,16.33,0,0,3
7672,50979474,0,1.63,0,-1.56,16.35,16.33,0,0,3
7714,50990279,0,1.63,0,-1.56,16.35,16.33,0,0,3
7755,51000757,0,1.63,0,-1.56,16.35,16.33,0,0,3
7799,51010759,0,1.63,0,-1.56,16.35,16.33,0,0,3
7841,51021161,0,1.63,0,-1.56,16.36,16.34,0,0,3
7882,51031381,0,1.63,0,-1.56,16.36,16.34,0,0,3
7922,51041248,0,1.63,0,-1.56,16.36,16.34,0,0,3
7964,51054240,0,1.64,0,-1.56,16.36,16.34,0,0,3
8005,51064729,0,1.64,0,-1.56,16.36,16.34,0,0,3
8046,51074061,0,1.64,0,-1.56,16.36,16.34,0,0,3
8087,51084390,0,1.64,0,-1.56,16.36,16.34,0,0,3
8127,51094478,0,1.64,0,-1.56,16.36,16.34,0,0,3
8168,51104196,0,1.64,0,-1.56,16.36,16.34,0,0,3
8215,51114613,0,1.64,0,-1.56,16.36,16.34,0,0,3
8256,51124259,0,1.64,0,-1.56,16.36,16.34,0,0,3
8297,51134284,0,1.63,0,-1.56,16.36,16.34,0,0,3
8337,51144475,0,1.63,0,-1.56,16.37,16.35,0,0,3
8379,51157188,0,1.63,0,-1.56,16.37,16.35,0,0,3
8419,51167413,0,1.63,0,-1.56,16.37,16.35,0,0,3
8457,51177171,0,1.63,0,-1.56,16.37,16.35,0,0,3
8498,51187172,0,1.63,0,-1.56,16.36,16.35,0,0,3
8540,51197517,0,1.63,0,-1.56,16.36,16.34,0,0,3
8582,51208209,0,1.63,0,-1.56,16.36,16.34,0,0,3
8626,51218869,0,1.63,0,-1.56,16.36,16.34,0,0,3
8667,51228864,0,1.63,0,-1.56,16.36,16.34,0,0,3
8708,51238868,0,1.63,0,-1.56,16.36,16.34,0,0,3
8749,51248938,0,1.63,0,-1.56,16.36,16.34,0,0,3
