TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
0,4112,3.05,-0.15,0.27,-0.35,0.93,22.79,22.93,-0.3955233,0.04387007,0.007665787,0.3309942,-0.0713956,-9.785621,1
112834,4856,3.41,-0.21,0.58,-0.38,1.09,22.79,22.98,0.1215922,0.04496859,0.01001932,0.0894105699999999,0.2674747,-9.996786,1
218194,5301,3.75,-0.4,0.91,-0.52,1.05,22.79,23.27,0.0421144,-0.04546681,0.09060195,0.07017887,0.2711536,-11.22859,1
328161,5763,3.42,-0.85,1.33,-0.83,0.38,22.79,24.01,0.007449036,-0.2042711,0.1262819,0.02717651,0.259441,-11.94492,1
433606,6072,2.91,-1.18,0.77,-0.97,-0.9,22.79,24.97,-0.06555263,-0.1324936,0.1773206,-0.3959289,0.4169896,-11.05667,1
542118,5717,2.85,-1.73,0.12,-0.96,-1.58,22.79,26.0,-0.1481108,-0.04848266,0.1759225,-0.1263043,0.4014382,-10.11437,1
757370,5772,3.43,-2.52,-0.89,-0.36,-0.54,22.77,28.27,-0.06852075,0.1683592,0.1885603,-0.1207122,0.4364789,-9.682377,1
878262,6015,3.2,-2.86,-1.28,0.07,-0.18,22.75,29.51,-0.0294927,0.03581886,0.1792007,-0.2734571,0.1964469,-10.0787,1
985154,6026,3.46,-2.95,-1.52,0.18,0.25,22.74,30.64,0.07537114,-0.03073519,0.1715944,0.07667994,0.4460926,-9.863052,1
1096049,6010,3.17,-3.3,-0.98,0.26,0.16,22.5,31.6,0.08718375,-0.03074425,0.1292415,0.149219,0.2924038,-9.616832,1
1200749,5961,3.69,-3.67,-1.24,0.41,-0.31,20.74,31.97,-0.2425553,-0.03162026,0.02345964,0.01365351,0.1527967,-10.10936,1
1426358,6075,4.12,-4.1,-3.61,1.02,0.46,17.92,30.38,-0.04276489,0.1316488,-0.1907398,0.1769894,0.4489146,-9.768944,1
1534145,6456,3.5,-4.05,-2.95,1.43,0.9,17.89,29.29,0.1390777,0.08936746,-0.1425528,0.319608,0.5167755,-9.779041,1
1638704,6300,3.52,-3.83,-1.79,1.79,1.23,17.87,28.45,0.1820471,0.1053593,-0.1262337,0.0889891,0.5646457,-10.14644,1
1749373,6280,3.37,-3.81,-1.06,2.09,1.46,17.85,27.69,-0.06344337,0.0748782499999999,-0.1079907,0.2237675,0.391728,-9.893238,1
1855817,6086,3.17,-4.08,-0.83,2.27,1.84,17.83,26.91,0.01757438,0.09847756,-0.1286815,0.1751925,0.3694564,-10.00881,1
1966644,6109,3.25,-4.2,-1.56,2.26,2.22,17.83,26.12,-0.1221594,0.05270522,-0.1376529,0.2122054,0.5566627,-9.489389,1
2190838,5843,3.05,-4.6,-2.67,2.31,1.68,17.83,24.75,-0.1291344,-0.004779704,-0.09550928,0.1167736,0.6406171,-9.432408,1
2301765,5880,3.2,-4.75,-3.14,2.52,1.54,17.81,24.2,0.03675765,-0.05538418,-0.0836495399999999,0.1515699,0.518216,-9.494979,1
2405278,5968,3.03,-4.57,-3.29,2.73,1.75,17.8,23.75,0.1326916,-0.02987151,-0.0795608399999999,0.1770296,0.6233606,-9.477366,1
2514271,5909,3.17,-4.42,-3.13,2.9,2.2,17.78,23.28,0.03634669,0.1597575,-0.0627689,0.1100245,0.4810579,-9.858679,1
2628285,5683,2.97,-4.4,-2.68,2.93,2.7,17.78,22.95,0.0890208599999999,0.09714134,-0.04137938,0.367601,0.4792292,-9.790082,1
2736377,5871,2.8,-4.51,-2.52,2.89,2.83,17.78,22.78,-0.03024867,-0.02259485,-0.01880535,0.4815144,0.6502731,-9.725009,1
2846175,5703,3.1,-4.75,-2.91,2.8,2.64,17.79,22.8,-0.06444339,-0.06786575,0.001892844,0.3830511,0.5702086,-8.784132,1
2951233,5772,4.19,-4.78,-3.57,2.68,2.9,17.8,22.96,0.01579408,0.02051889,0.03777124,0.4179304,0.8047451,-9.601441,1
3058450,6080,4.22,-4.78,-3.33,2.4,3.21,17.82,23.15,-0.01117771,0.1385513,0.05840714,0.1422832,0.7647911,-10.54269,1
3164175,6322,4.44,-4.55,-2.87,1.85,3.42,17.87,23.55,-0.08075713,0.06602047,0.05866465,0.1263654,0.475433,-10.69158,1
3286200,6504,4.56,-4.18,-3.22,1.11,3.11,17.93,23.87,-0.1496956,-0.1151828,0.04067102,0.1092937,0.5599545,-10.62384,1
3390765,6542,4.27,-3.97,-3.36,0.64,1.72,17.96,24.2,0.03750703,-0.2710618,0.04507238,0.2967702,0.8629498,-10.4503,1
3490719,6542,4.59,-3.84,-3.06,0.28,0.73,17.98,24.61,0.08586928,-0.06781738,0.07415004,-0.002329015,0.5169781,-10.81052,1
3608604,6586,4.31,-3.35,-3.18,0.35,0.19,17.98,25.19,-0.02938352,-0.07425617,0.05581152,0.0797538,0.6031517,-10.46622,1
3824211,6600,4.62,-2.94,-2.9,0.92,0.38,17.95,25.65,0.1136213,0.03066959,0.02430899,0.07259073,0.5262284,-10.77083,1
3937589,6630,4.32,-2.83,-2.63,0.98,1.11,17.95,25.73,0.02107036,0.150945,0.03525607,0.0425582,0.7496228,-10.47754,1
4041176,6649,4.18,-2.83,-2.13,0.75,1.5,17.96,25.87,0.1369437,0.0171735,0.03214509,0.206631,0.4870729,-9.959636,1
4150238,6507,4.27,-2.95,-1.88,0.5,1.24,17.97,26.1,-0.03681759,-0.01086719,0.04769304,0.1164574,0.3933822,-10.55721,1
4266138,6416,4.38,-2.88,-2.38,0.33,1.36,17.98,26.42,-0.1301476,-0.08277277,0.05367843,0.4805428,0.5613976,-10.28687,1
