TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
0,3896,3.19,-0.1,-0.87,-0.66,1.73,19.79,20.02,0.02622692,-0.1136154,0.03809478,0.4068926,0.4881375,-10.61244,2
111984,5342,3.73,-0.7,-0.05,-1.01,1.0,19.8,20.02,0.1057615,-0.2212881,0.0250845,0.2652585,0.5998876,-11.39883,2
228418,5931,3.46,-1.49,0.43,-1.76,-0.76,19.81,20.7,0.048252,-0.2629353,0.151144,0.5218687,1.025952,-11.68115,2
337860,6114,3.42,-2.48,0.28,-1.84,-2.67,19.81,21.96,-0.08682612,-0.1604259,0.248172,-0.4691143,0.4042445,-11.09648,2
441908,6122,3.68,-3.54,-0.21,-1.4,-3.43,19.79,23.71,-0.0562061,-0.07315103,0.3057234,0.02755471,0.8939866,-10.49262,2
550876,6231,4.17,-4.72,-0.54,-0.74,-3.44,19.74,25.64,0.03752086,0.02480482,0.3001933,-0.03693152,0.6622003,-10.43922,2
662759,6311,4.2,-5.78,-1.37,-0.22,-2.58,19.45,27.26,-0.05702938,0.1800982,0.2302328,-0.1930816,0.6712595,-10.10705,2
777517,6505,4.86,-7.01,-2.81,-0.09,-1.46,17.7,28.35,-0.3468084,0.1003481,0.118064,0.1530631,0.8100133,-9.813096,2
887176,6712,4.86,-7.93,-3.72,-0.32,-0.8,15.52,28.63,-0.1266105,0.08623171,0.001937516,0.2652124,0.5380509,-9.899503,2
991461,6704,5.17,-8.51,-4.45,-0.94,-0.5,12.19,28.01,-0.1463261,0.08775585,-0.1752019,0.128419,0.7607932,-9.997381,2
1101157,6831,5.02,-8.81,-5.18,-1.56,-0.33,9.42,26.37,-0.06087366,0.1327023,-0.3033189,-0.1065452,0.9359135,-9.625406,2
1216205,7080,5.2,-8.99,-5.66,-2.13,-0.47,7.52,23.83,-0.2635396,-0.07421579,-0.4368229,0.03765322,0.6205311,-9.660166,2
1317637,7029,4.4,-8.86,-5.78,-2.22,-0.85,7.45,21.26,0.03022733,0.01604251,-0.4038665,-0.3173944,1.156059,-10.04246,2
1423647,6754,4.08,-8.81,-5.55,-2.18,-1.15,7.44,18.88,0.03022569,0.05380481,-0.3512794,-0.2937161,1.208903,-9.804562,2
1539990,6537,4.1,-9.0,-5.38,-2.18,-1.35,7.44,16.87,0.07422454,0.02608325,-0.2730646,0.1034645,1.241188,-9.583915,2
1659073,6486,3.93,-9.38,-5.83,-2.25,-1.23,7.45,15.27,-0.1474435,0.07702654,-0.2226799,-0.2173216,1.306771,-9.663719,2
1763146,6512,4.45,-9.87,-5.96,-2.35,-1.4,7.47,14.26,0.1058517,-0.1344232,-0.1360387,-0.2057171,0.9789596,-9.530547,2
