tempo,<>(GyrX),var(GyrX),kurt(GyrX),RMS(GyrX),freq1(GyrX),freq2(GyrX),amp1(GyrX),amp2(GyrX),<>(GyrY),var(GyrY),kurt(GyrY),RMS(GyrY),freq1(GyrY),freq2(GyrY),amp1(GyrY),amp2(GyrY),<>(GyrZ),var(GyrZ),kurt(GyrZ),RMS(GyrZ),freq1(GyrZ),freq2(GyrZ),amp1(GyrZ),amp2(GyrZ),<>(AccX),var(AccX),kurt(AccX),RMS(AccX),freq1(AccX),freq2(AccX),amp1(AccX),amp2(AccX),<>(AccY),var(AccY),kurt(AccY),RMS(AccY),freq1(AccY),freq2(AccY),amp1(AccY),amp2(AccY),<>(AccZ),var(AccZ),kurt(AccZ),RMS(AccZ),freq1(AccZ),freq2(AccZ),amp1(AccZ),amp2(AccZ),<>(Roll),var(Roll),kurt(Roll),RMS(Roll),freq1(Roll),freq2(Roll),amp1(Roll),amp2(Roll),<>(Pitch),var(Pitch),kurt(Pitch),RMS(Pitch),freq1(Pitch),freq2(Pitch),amp1(Pitch),amp2(Pitch),<>(Yaw),var(Yaw),kurt(Yaw),RMS(Yaw),freq1(Yaw),freq2(Yaw),amp1(Yaw),amp2(Yaw),<>(C9),var(C9),kurt(C9),RMS(C9),freq1(C9),freq2(C9),amp1(C9),amp2(C9),<>(C10),var(C10),kurt(C10),RMS(C10),freq1(C10),freq2(C10),amp1(C10),amp2(C10),<>(C11),var(C11),kurt(C11),RMS(C11),freq1(C11),freq2(C11),amp1(C11),amp2(C11),<>(C12),var(C12),kurt(C12),RMS(C12),freq1(C12),freq2(C12),amp1(C12),amp2(C12),<>(C13),var(C13),kurt(C13),RMS(C13),freq1(C13),freq2(C13),amp1(C13),amp2(C13),<>(C14),var(C14),kurt(C14),RMS(C14),freq1(C14),freq2(C14),amp1(C14),amp2(C14),Guasto
0.0,-0.04189712022383665,0.01982519589364406,-0.9087190949447246,0.14671088077273495,69.0,51.0,6.981244289302354,3.0692491427348028,0.016826040966324788,0.0031967361694274794,0.054297378710464805,0.058913023293442626,62.0,63.0,2.150325969092539,2.1037381900243797,0.10011558665356125,0.006543635834635619,-1.6395152005050435,0.12863951060419443,52.0,64.0,0.5892265895099285,0.38914215407919694,-0.10633416637274455,0.04669023285992461,-0.34662217096792425,0.24054971875201317,93.0,95.0,12.34044241382416,9.908352038401958,0.3495028066564482,0.04575555947894551,-0.498059440211271,0.40960641306059525,114.0,107.0,9.71472976180741,7.8955152297406315,-10.694732399810066,0.6688586191534983,-1.0305730558528112,10.725868456334394,0.0,101.0,176.28612751311545,18.423421560450564,0.37008547008547016,1.0601334212454214,0.23583063753030142,1.0927380076104025,84.0,83.0,3.8261279348496053,3.6417533040236507,-0.16216524216524214,0.1279061554741555,0.8023426827218585,0.392223553906846,0.0,64.0,43.70212933820024,1.1653945067214688,14.90934472934473,3.624474712250711,-0.784800555699336,15.030060173928401,69.0,91.0,-1.984904065499131,-1.9931322452264528,1560.065527065527,6445.4328367928365,0.4273523867395941,1562.1240406953984,90.0,89.0,686.042794033531,606.4216643905143,1494.4729344729344,3758.729979649979,0.0496114450812315,1495.7263697680044,86.0,83.0,1364.4250343371887,902.7849644547865,1539.3817663817663,5935.836695156696,0.6004928924789685,1541.3030682341966,90.0,86.0,908.9741500035907,577.5563950266801,1516.940170940171,3714.0221245421244,0.24888518190353315,1518.160374623486,94.0,91.0,1409.7132298935949,451.41281116896187,1517.6267806267806,4734.171737891737,0.184530660064405,1519.1812694161054,100.0,97.0,955.8554082284176,577.8586079349037,1538.2877492877492,5480.199820919821,-0.13723480891172368,1540.062916352701,107.0,108.0,1123.2543172041762,867.1463060435992,0
1.0,-0.042133586738352276,0.01978839643125651,-0.9094371939648433,0.14665407777275985,81.0,60.0,7.061480322404618,3.105682340381252,0.016689269306382575,0.0031942133423843683,0.05357233125243166,0.05885295729734108,64.0,81.0,2.4947919432088774,1.887596939424633,0.10032634682405303,0.006540628784511839,-1.6388924487194287,0.12879217103456966,50.0,62.0,0.5580144944795447,0.4060447279569377,-0.10695786629782197,0.04669414081546872,-0.3487608083745952,0.24083494798163466,93.0,95.0,12.523760343168522,9.494893058144719,0.34960593703526516,0.04562894558764457,-0.49128933201135894,0.40954075390810846,116.0,110.0,9.394186831053721,6.55462799931521,-10.693133226325758,0.6678532282951366,-1.0253768567820507,10.724227436693957,0.0,94.0,177.02025612711088,18.538977864903387,0.3624431818181818,1.0776715067340066,0.2273833083430934,1.0981689305384665,82.0,81.0,4.026074114493999,3.8283497008989835,-0.1599715909090909,0.1292356117262367,0.7376633685129765,0.3930131995238841,0.0,68.0,44.04779469896913,1.0373617944271982,14.921306818181817,3.664516805879306,-0.7926588197649078,15.043254415487718,64.0,88.0,-2.0043116694355922,-2.021729687589715,1560.215909090909,6435.030173530172,0.43914098579967753,1562.2709213891749,86.0,85.0,703.5101572877486,456.1771763419114,1494.4147727272727,3749.2120888370887,0.05338833948784227,1495.6650941516407,98.0,96.0,1380.8579618419917,903.188845430752,1539.5482954545455,5928.68711959337,0.6119292847562114,1541.4670928357357,98.0,93.0,894.5121906381846,517.5098832141301,1516.8693181818182,3705.207944832945,0.250824683621512,1518.0866939102236,103.0,100.0,1386.1126818283428,449.1980005714332,1517.5625,4722.138532763533,0.18800028510348232,1519.1131178331411,98.0,95.0,997.0159267278524,620.7589722812986,1538.4517045454545,5474.048942955193,-0.12885498837580567,1540.2247059719448,111.0,112.0,1128.6461633554536,873.9591749658919,0
2.0,-0.042387160836355055,0.019754877233522244,-0.9108834846616438,0.1466137299582312,71.0,52.0,7.123181444923377,3.2413747164486324,0.01659532614111426,0.0031882542100218083,0.05781977442750463,0.058776076579991024,60.0,79.0,2.632545047797283,1.889036453291723,0.10052264395297451,0.00653564944741411,-1.6379458626490937,0.12892609048226383,52.0,66.0,0.4403201764998169,0.4169402395068749,-0.10714478228564682,0.046573819974369976,-0.34169309975100504,0.24066966401759587,93.0,95.0,12.545313613028753,9.138571964429214,0.3501027428793579,0.045586443965809846,-0.4924314727917509,0.40991369148830326,104.0,98.0,9.204192846283242,5.372043803295238,-10.691471224740322,0.6669309919797876,-1.020328721070836,10.722527622650672,0.0,101.0,177.7628109679268,18.66878246518679,0.3548441926345609,1.0949937966778263,0.21647395859881913,1.103542582909521,86.0,85.0,4.2420147448275864,4.007220970927609,-0.1577903682719547,0.13054794456605714,0.6749994494077085,0.39379680125654526,0.0,72.0,44.38377043464872,0.9140402285054916,14.933201133144475,3.704046825907803,-0.8012274277947049,15.056362437798738,65.0,66.0,-1.0380297030836514,-2.0727332714978983,1560.3654390934844,6424.64164305949,0.45094189906196247,1562.416956206791,93.0,94.0,714.7922721305669,472.7995599479895,1494.356940509915,3739.741549703837,0.05718116119966199,1495.604163216712,108.0,106.0,1395.0497826214307,947.6853540066039,1539.71388101983,5921.523016997167,0.6233781606759066,1541.630170815752,104.0,101.0,880.2252257143374,526.3055037935802,1516.798866855524,3696.4338623487,0.25279182719180016,1518.013427105479,100.0,98.0,1356.4022408163373,442.09909950369524,1517.4985835694051,4710.16548094257,0.19148626281975023,1519.0453493464586,108.0,110.0,1027.0054731390694,644.0915142590143,1538.614730878187,5467.879555112027,-0.12045270437159239,1540.3855620871957,111.0,112.0,1125.8914511352125,877.9346199923593,0
3.0,-0.04245282755715631,0.019700440898348263,-0.9060157519988401,0.14644805394048852,73.0,56.0,7.390245007644362,3.1906256995803934,0.01649881664165725,0.0031825195139608613,0.06179171910198056,0.058700428417664534,63.0,83.0,2.6125651707324646,1.8874146737806803,0.10067550814143127,0.0065254069406242236,-1.635955267994525,0.12900593601544083,70.0,54.0,0.4115307919655221,0.3988859350810168,-0.10722894367278721,0.04644439023854,-0.3340076577663589,0.24043967592150856,107.0,109.0,12.26794788011535,8.74255122738934,0.3508070865435405,0.04563292329695309,-0.4992900487737346,0.4105723184813298,102.0,100.0,9.08031779216902,4.503825162688422,-10.689787106403013,0.6660457031755481,-1.0153281674582506,10.720807460185005,0.0,94.0,178.4996874912481,18.798362810290257,0.3472033898305085,1.1125590123397513,0.20591709432853333,1.1090384953556798,82.0,81.0,4.442500323100414,4.146576347699632,-0.15556497175141243,0.1319312663049567,0.6146746269980414,0.3946631976103459,0.0,72.0,44.73008601254983,0.8182249870802873,14.945338983050846,3.74570767513324,-0.8072180836332432,15.069780486068963,66.0,77.0,-1.3079382604951446,-2.05728546747127,1560.5677966101696,6420.937316944351,0.4604140311553264,1562.6178825588345,101.0,103.0,738.1866970864613,599.1144097057727,1494.223163841808,3735.482634720955,0.0495421240519498,1495.469088207881,100.0,98.0,1380.1270394459673,962.3249820870492,1539.8559322033898,5911.89136697556,0.635790207486334,1541.7689460651513,92.0,88.0,858.2710343112491,632.3512353335962,1516.7514124293784,3686.759558905907,0.25775601892010513,1517.9628427897685,103.0,101.0,1328.7652987740323,440.1366020594636,1517.4717514124293,4697.077103439446,0.1986622450144857,1519.0142609135562,106.0,109.0,1055.6917075217696,787.3747861751806,1538.7401129943503,5457.954930298812,-0.11077620331121807,1540.5076021611785,111.0,112.0,1102.452179333739,866.1724191283718,0
4.0,-0.04256046803352112,0.019648903132972552,-0.9021981228644318,0.14630429778135415,71.0,55.0,7.642152026268928,3.048569400276376,0.016326591092431925,0.003184059227973445,0.056340715279739495,0.05866555738888925,56.0,77.0,2.277665259186774,1.8567663299188395,0.1008236484001878,0.0065147642530584875,-1.6338321456164269,0.12908067586274496,53.0,66.0,0.5295427650564659,0.4034727149916432,-0.10733728813192489,0.046317358571306415,-0.3263946070821304,0.24022527044885827,101.0,103.0,11.644211789471646,8.27921987892694,0.351496609867831,0.04567279879120027,-0.5056968328796052,0.41121042030636296,110.0,101.0,8.94448569045856,4.2778486291470275,-10.688145189671362,0.6651212592848849,-1.0102128073276195,10.71912754256464,0.0,95.0,179.2082391879111,18.904716490415648,0.33960563380281694,1.1299088835839897,0.19322635287820766,1.1144765713863227,82.0,81.0,4.656096370785401,4.274852432480867,-0.15335211267605633,0.1332969236890268,0.5561541280311539,0.395522831021365,0.0,80.0,45.06677003967427,0.7313461321176763,14.957408450704223,3.7868401575555026,-0.8140558018839439,15.083111103594646,87.0,67.0,-2.0650837144991843,-2.214713009425284,1560.769014084507,6417.172483488502,0.46989972246039313,1562.817651316879,99.0,97.0,759.8978194716508,753.7886909439355,1494.0901408450704,3731.2121906580724,0.04203677804299044,1495.3347620864786,100.0,98.0,1363.3287790797651,974.4842490301419,1539.9971830985914,5902.274003342087,0.6482132799108573,1541.9069270974128,106.0,102.0,836.8333067103098,718.4143495554156,1516.7042253521126,3677.1354340733665,0.26273063016174447,1517.912541784619,106.0,104.0,1295.3809744733717,436.9336443802049,1517.4450704225353,4684.061239754914,0.20584019730655045,1518.9833469958464,104.0,107.0,1067.1929315669945,1035.7299010495287,1538.8647887323943,5448.055112596483,-0.10108366967935956,1540.6289450996542,113.0,114.0,1071.9754029767857,851.8384133550073,0
5.0,-0.04277474012705992,0.019609898970767512,-0.9020649445314239,0.1462343782351882,61.0,47.0,7.8502934078734725,2.9891782813959136,0.01617173932906367,0.0031836265954776773,0.05321683834146329,0.058619186083305984,68.0,89.0,2.426883500506288,1.830086272821567,0.10098907036161049,0.006506154539872573,-1.6321083736789206,0.12917689869854926,56.0,68.0,0.591012333353993,0.4006199875977142,-0.10724459823080525,0.04618994568343715,-0.31963580077647125,0.23991999186121904,105.0,102.0,10.768215890708799,8.383632310647151,0.3523928342783146,0.04583008869700248,-0.5155999403627027,0.4121675170892306,104.0,99.0,8.875709715409641,5.753666386548236,-10.686715371722846,0.6639754773270735,-1.0045861358226613,10.717648800641355,0.0,94.0,179.8279904887542,18.927128174775255,0.3320505617977529,1.1470462058870075,0.17869769793779833,1.1198579113320728,88.0,87.0,4.881278016065119,4.390502176682549,-0.1511516853932584,0.13464514875771488,0.49936386331303506,0.3963757864009155,0.0,76.0,45.393853380714965,0.6540323638543236,14.969410112359547,3.8274512003481567,-0.8216432902140953,15.096355157618135,66.0,88.0,-1.657361153640501,-2.1007128241569624,1560.9691011235955,6413.348338344675,0.47939893722546856,1563.0162724608876,97.0,95.0,914.4294641604715,761.2931175043517,1493.9578651685392,3726.930614021205,0.03466307307893013,1495.201178640099,100.0,99.0,1344.8960534352527,984.3462300273557,1540.137640449438,5892.671142585852,0.6606472562949728,1542.0441207127374,98.0,94.0,816.0751394112433,779.22041534453,1516.6573033707866,3667.5611014401015,0.26771556199805735,1517.862521716463,111.0,109.0,1256.4829857612556,433.90410480892285,1517.4185393258426,4671.117289128027,0.21302010231443314,1518.9526061279598,109.0,107.0,1280.5720052441793,1059.769398597041,1538.9887640449438,5438.18015508783,-0.09137529673811962,1540.7495968601513,121.0,122.0,1035.1773729889244,835.110477366544,0
6.0,-0.04293945645723622,0.019564500919479918,-0.9000686563643661,0.1461283522001765,77.0,58.0,8.069947734027217,3.1735315950823377,0.01608527093785247,0.003177353035558344,0.058146103594264975,0.05854219698767277,59.0,81.0,2.5157180813396036,1.8255911168645609,0.1011401527042017,0.006496027661977626,-1.6300201821385834,0.12925618745379647,49.0,60.0,0.41950286566753675,0.39176757363012404,-0.10710543699393092,0.04606711225339641,-0.3135533319122299,0.23960310381323485,103.0,100.0,9.614768874771451,9.038704034457329,0.35351976751563025,0.046154734824925346,-0.522339991335274,0.4135234889068966,106.0,101.0,8.88328061805571,7.801433437557339,-10.685340744164332,0.662784965201752,-0.9988325720241962,10.716222993367643,0.0,105.0,180.41447046217115,18.92100670287911,0.3245378151260505,1.163973732414314,0.16259036879311894,1.1251835829046273,80.0,79.0,5.116444811098515,4.492019048126,-0.14896358543417365,0.1359761700185693,0.4442336693334057,0.3972221471339052,0.0,76.0,45.71136907376289,0.5861799719141249,14.981344537815126,3.867547625342271,-0.8298929711536593,15.109513503727628,68.0,69.0,-1.2283736582263123,-2.043650911683506,1561.1680672268908,6409.466056085356,0.48891163699442375,1563.2137558563768,98.0,96.0,1060.1833555125522,760.9741567718354,1493.826330532213,3722.6382935196552,0.02741900009392273,1495.0683317248784,100.0,99.0,1325.0696214151176,991.8809753935213,1540.2773109243697,5883.0829949957515,0.6730920167361814,1542.1805336338957,98.0,102.0,811.9955019595748,796.1388837341901,1516.6106442577031,3658.0361785163504,0.2727107167555882,1517.812780238176,104.0,102.0,1212.3552838743308,432.1443529328516,1517.3921568627452,4658.244657413527,0.2202019428604136,1518.9220368608867,109.0,107.0,1517.6486795304945,1033.001185690438,1539.1120448179272,5428.330107323827,-0.08165127467648148,1540.8695633324976,115.0,116.0,992.8293909527081,816.1765359238004,0
7.0,-0.0429402403311918,0.019509698615872043,-0.8941366157660635,0.14594199700813934,83.0,61.0,8.34201266537221,3.336371735012584,0.01593439585143389,0.003176602145428607,0.055525380252740675,0.058494734175209694,69.0,89.0,2.660548116360222,1.795890339489607,0.10128035413985104,0.006484868512497536,-1.6276564782184793,0.12932310114335743,46.0,58.0,0.5768198840690987,0.37816501237445344,-0.10671268090642458,0.04599329685252469,-0.3138816328091294,0.23927477974605893,103.0,105.0,8.550155955296812,8.300947890161805,0.354639882410838,0.046474617194917855,-0.5292865420800821,0.4148665400159727,95.0,102.0,9.533558361128541,8.88290841454495,-10.683876524208566,0.6616959552312129,-0.9932694884953119,10.714712559235643,0.0,100.0,181.0194925333815,18.938029405321906,0.3168994413407822,1.1816007237531883,0.1493526196735533,1.130807419057026,80.0,79.0,5.300166444673371,4.518412982172453,-0.14687150837988824,0.13716217391984725,0.3903227159017906,0.39793250599769964,0.0,72.0,45.9893568683378,0.4978358894926027,14.993491620111731,3.9095376343833617,-0.8359878652814059,15.122943103131695,70.0,90.0,-1.3214912255811258,-2.1507616184933758,1561.3687150837989,6405.925293022236,0.49828906999053135,1563.4130279901678,102.0,100.0,1195.859222197333,754.5819543567573,1493.6871508379888,3719.1455487222815,0.018836531541760237,1494.9281124697984,96.0,95.0,1301.0993321853257,993.9086850426118,1540.4106145251396,5872.965377212337,0.6857411949512819,1542.3104168058094,104.0,108.0,814.6572211948512,775.1573099274638,1516.5614525139665,3648.65587687589,0.27737921274984556,1517.7605553419667,105.0,98.0,1162.3348011655712,432.4691710828389,1517.3603351955308,4645.558870475565,0.22690360889685257,1518.8860948977522,107.0,105.0,1740.9756172906284,985.9276680675941,1539.231843575419,5418.262624602913,-0.07183971678762813,1540.9859817952224,121.0,122.0,944.7512240716002,794.2364539285755,0
8.0,-0.04311487817613742,0.019466151168325757,-0.8925294270565027,0.1458451940454728,75.0,55.0,8.545529410389237,3.033171484220277,0.015757133141541316,0.003179009477604574,0.04947809803234682,0.05846744002298614,65.0,85.0,2.4570080317702705,1.7545034951058032,0.10143258082284123,0.006475073448363495,-1.6255621194352914,0.12940481244704552,50.0,60.0,0.6130305833180196,0.3680558335947458,-0.10621957654921078,0.04595211549093865,-0.3176681003291275,0.2389701102889869,107.0,101.0,7.036238899800612,6.972005219171564,0.3553169819027298,0.046509388304620945,-0.5351812993017382,0.4154876572407704,97.0,104.0,10.716799720720612,8.718132127533632,-10.682581055710306,0.6604501301752674,-0.9873392107129098,10.713363078326063,0.0,99.0,181.55073074523455,18.885768643991394,0.30930362116991655,1.1990132008527725,0.13446505509358797,1.1363723251123885,86.0,85.0,5.491189303770385,4.5292139472012725,-0.1447910863509749,0.1383328472946266,0.33797991919940085,0.39863765215528474,0.0,82.0,46.25786301511445,0.5432147508252272,15.005571030640668,3.9509996031807777,-0.8428458003032548,15.136286069867262,89.0,87.0,-2.1592569395902643,-2.215855038731939,1561.568245125348,6402.324240207901,0.5076798150933444,1563.6111647886794,106.0,104.0,1318.4184922946124,742.2461037446828,1493.5487465181059,3715.6337903238355,0.010402288905362322,1494.7886613368732,100.0,99.0,1276.2417044595136,993.107730234691,1540.543175487465,5862.868940726101,0.6984005447000095,1542.4395655488333,98.0,102.0,791.6364015386381,755.2534805119649,1516.5125348189415,3639.323166461773,0.28205925770856055,1517.7086196101666,108.0,105.0,1107.806005502809,449.750917615294,1517.3286908077994,4632.94193990134,0.2336083540251872,1518.8503523249617,115.0,113.0,1948.9062253997804,922.9634632167152,1539.350974930362,5408.222841225627,-0.0620133634626856,1541.1017429659541,123.0,124.0,892.7968995447685,770.499983491243,0
9.0,-0.043261665181203716,0.019419684618966725,-0.8899593655287363,0.14573027387894144,75.0,56.0,8.7524469701445,2.9619368369306533,0.015717451170777774,0.003170721175170543,0.05751947294177695,0.05838623029153717,57.0,58.0,2.2469296264643037,2.164246440458978,0.1015735571724074,0.00646419179128211,-1.623185769246762,0.1294736390916287,50.0,48.0,0.5313461502315577,0.3963785138206434,-0.10590254754027778,0.04586029783053868,-0.31568047621870043,0.2386383407792293,103.0,102.0,7.327699630554404,6.053807937215369,0.356010337878926,0.04655290299446072,-0.5413973496320419,0.4161333320604091,105.0,112.0,11.484909573647144,8.553208939583005,-10.680924025,0.659598906498311,-0.9822329528081788,10.711671424905443,0.0,96.0,182.1987313461328,18.95458291833277,0.30175,1.2162139206128135,0.11815962564679738,1.1418794205655474,88.0,87.0,5.68821305373902,4.524021264094545,-0.14272222222222222,0.13948839059114823,0.2871421808253185,0.3993376460535068,0.0,70.0,46.51693549034525,0.6025989126221567,15.017583333333333,3.991940383008356,-0.8503801227930863,15.14954325494116,67.0,86.0,-1.2685105601398767,-2.1549643863339036,1561.7666666666667,6398.664066852368,0.517083842113315,1563.8081759317895,96.0,95.0,1426.1255249680044,725.3937606246741,1493.411111111111,3712.103497369235,0.0021139222594230844,1494.6499720298693,96.0,95.0,1250.7461746254226,988.9690925435636,1540.675,5852.7938022284125,0.7110699536223262,1542.5679860760324,100.0,104.0,747.3712980610477,736.5297615840034,1516.463888888889,3630.0376895697927,0.28675074208563966,1517.6569706477005,109.0,106.0,1049.1876573874745,492.49742038501404,1517.2972222222222,4620.393307025689,0.24031615108720317,1518.8148074878795,99.0,97.0,2138.1662276428765,847.6085408259108,1539.4694444444444,5398.210762921695,-0.052172389053489976,1541.216852396544,108.0,111.0,855.9113840268017,837.8333816256153,0
